Year_Month,Contract_region,Card_type,Trip
2017-03,Outer Sydney Metro Contract 9,Adult Single Bus Trip 2,133
2017-03,Outer Sydney Metro Contract 9,Adult Single Bus Trip 3,167
2017-03,Outer Sydney Metro Contract 9,Child/Youth,1662
2017-03,Outer Sydney Metro Contract 9,Child/Youth Single Bus Trip 1,137
2017-03,Outer Sydney Metro Contract 9,Child/Youth Single Bus Trip 2,11
2017-03,Outer Sydney Metro Contract 9,Child/Youth Single Bus Trip 3,21
2017-03,Outer Sydney Metro Contract 9,Concession,650
2017-03,Outer Sydney Metro Contract 9,Free Travel,80
2017-03,Outer Sydney Metro Contract 9,School Student,22320
2017-03,Outer Sydney Metro Contract 9,Senior/Pensioner,4017
2017-03,Sydney Metro Contract 1,Adult,437169
2017-03,Sydney Metro Contract 1,Adult Single Bus Trip 1,22132
2017-03,Sydney Metro Contract 1,Adult Single Bus Trip 2,12923
2017-03,Sydney Metro Contract 1,Adult Single Bus Trip 3,992
2017-03,Sydney Metro Contract 1,Child/Youth,82720
2017-03,Sydney Metro Contract 1,Child/Youth Single Bus Trip 1,6998
2017-03,Sydney Metro Contract 1,Child/Youth Single Bus Trip 2,4548
2017-03,Sydney Metro Contract 1,Child/Youth Single Bus Trip 3,428
2017-03,Sydney Metro Contract 1,Concession,87410
2017-03,Sydney Metro Contract 1,Employee,1
2017-03,Sydney Metro Contract 1,Free Travel,1622
2017-03,Sydney Metro Contract 1,School Student,288260
2017-03,Sydney Metro Contract 1,Senior/Pensioner,245205
2017-03,Sydney Metro Contract 10,Adult,291308
2017-03,Sydney Metro Contract 10,Adult Single Bus Trip 1,6457
2017-03,Sydney Metro Contract 10,Adult Single Bus Trip 2,2206
2017-03,Sydney Metro Contract 10,Adult Single Bus Trip 3,288
2017-03,Sydney Metro Contract 10,Child/Youth,53951
2017-03,Sydney Metro Contract 10,Child/Youth Single Bus Trip 1,1698
2017-03,Sydney Metro Contract 10,Child/Youth Single Bus Trip 2,623
2017-03,Sydney Metro Contract 10,Child/Youth Single Bus Trip 3,63
2017-03,Sydney Metro Contract 10,Concession,57600
2017-03,Sydney Metro Contract 10,Free Travel,1279
2017-03,Sydney Metro Contract 10,School Student,217540
2017-03,Sydney Metro Contract 10,Senior/Pensioner,158437
2017-03,Sydney Metro Contract 12,Adult,108937
2017-03,Sydney Metro Contract 12,Adult Single Bus Trip 1,1219
2017-03,Sydney Metro Contract 12,Adult Single Bus Trip 2,402
2017-03,Sydney Metro Contract 12,Adult Single Bus Trip 3,18
2017-03,Sydney Metro Contract 12,Child/Youth,35886
2017-03,Sydney Metro Contract 12,Child/Youth Single Bus Trip 1,345
2017-03,Sydney Metro Contract 12,Child/Youth Single Bus Trip 2,177
2017-03,Sydney Metro Contract 12,Child/Youth Single Bus Trip 3,6
2017-03,Sydney Metro Contract 12,Concession,19557
2017-03,Sydney Metro Contract 12,Free Travel,386
2017-03,Sydney Metro Contract 12,School Student,156230
2017-03,Sydney Metro Contract 12,Senior/Pensioner,37562
2017-03,Sydney Metro Contract 13,Adult,313532
2017-03,Sydney Metro Contract 13,Adult Single Bus Trip 1,10674
2017-03,Sydney Metro Contract 13,Adult Single Bus Trip 2,5150
2017-03,Sydney Metro Contract 13,Adult Single Bus Trip 3,594
2017-03,Sydney Metro Contract 13,Child/Youth,49575
2017-03,Sydney Metro Contract 13,Child/Youth Single Bus Trip 1,1916
2017-03,Sydney Metro Contract 13,Child/Youth Single Bus Trip 2,1022
2017-03,Sydney Metro Contract 13,Child/Youth Single Bus Trip 3,126
2017-03,Sydney Metro Contract 13,Concession,75704
2017-03,Sydney Metro Contract 13,Free Travel,1317
2017-03,Sydney Metro Contract 13,School Student,143882
2017-03,Sydney Metro Contract 13,Senior/Pensioner,210496
2017-03,Sydney Metro Contract 14,Adult,238947
2017-03,Sydney Metro Contract 14,Adult Single Bus Trip 1,1088
2017-03,Sydney Metro Contract 14,Adult Single Bus Trip 2,1153
2017-03,Sydney Metro Contract 14,Adult Single Bus Trip 3,1470
2017-03,Sydney Metro Contract 14,Child/Youth,41939
2017-03,Sydney Metro Contract 14,Child/Youth Single Bus Trip 1,437
2017-03,Sydney Metro Contract 14,Child/Youth Single Bus Trip 2,509
2017-03,Sydney Metro Contract 14,Child/Youth Single Bus Trip 3,357
2017-03,Sydney Metro Contract 14,Concession,34384
2017-03,Sydney Metro Contract 14,Free Travel,414
2017-03,Sydney Metro Contract 14,School Student,97686
2017-03,Sydney Metro Contract 14,Senior/Pensioner,50161
2017-03,Sydney Metro Contract 15,Adult,85436
2017-03,Sydney Metro Contract 15,Adult Single Bus Trip 1,9705
2017-03,Sydney Metro Contract 15,Adult Single Bus Trip 2,4373
2017-03,Sydney Metro Contract 15,Adult Single Bus Trip 3,740
2017-03,Sydney Metro Contract 15,Child/Youth,25453
2017-03,Sydney Metro Contract 15,Child/Youth Single Bus Trip 1,3125
2017-03,Sydney Metro Contract 15,Child/Youth Single Bus Trip 2,1420
2017-03,Sydney Metro Contract 15,Child/Youth Single Bus Trip 3,210
2017-03,Sydney Metro Contract 15,Concession,26157
2017-03,Sydney Metro Contract 15,Free Travel,920
2017-03,Sydney Metro Contract 15,School Student,86080
2017-03,Sydney Metro Contract 15,Senior/Pensioner,64552
2017-03,Sydney Metro Contract 2,Adult,114265
2017-03,Sydney Metro Contract 2,Adult Single Bus Trip 1,5957
2017-03,Sydney Metro Contract 2,Adult Single Bus Trip 2,2996
2017-03,Sydney Metro Contract 2,Adult Single Bus Trip 3,456
2017-03,Sydney Metro Contract 2,Child/Youth,22796
2017-03,Sydney Metro Contract 2,Child/Youth Single Bus Trip 1,1580
2017-03,Sydney Metro Contract 2,Child/Youth Single Bus Trip 2,820
2017-03,Sydney Metro Contract 2,Child/Youth Single Bus Trip 3,114
2017-03,Sydney Metro Contract 2,Concession,30653
2017-03,Sydney Metro Contract 2,Free Travel,1073
2017-03,Sydney Metro Contract 2,School Student,78036
2017-03,Sydney Metro Contract 2,Senior/Pensioner,98689
2017-03,Sydney Metro Contract 3,Adult,367571
2017-03,Sydney Metro Contract 3,Adult Single Bus Trip 1,18556
2017-03,Sydney Metro Contract 3,Adult Single Bus Trip 2,12519
2017-03,Sydney Metro Contract 3,Adult Single Bus Trip 3,1806
2017-03,Sydney Metro Contract 3,Child/Youth,70240
2017-03,Sydney Metro Contract 3,Child/Youth Single Bus Trip 1,5236
2017-03,Sydney Metro Contract 3,Child/Youth Single Bus Trip 2,3139
2017-03,Sydney Metro Contract 3,Child/Youth Single Bus Trip 3,247
2017-03,Sydney Metro Contract 3,Concession,126184
2017-03,Sydney Metro Contract 3,Free Travel,1649
2017-03,Sydney Metro Contract 3,School Student,165640
2017-03,Sydney Metro Contract 3,Senior/Pensioner,263471
2017-03,Sydney Metro Contract 4,Adult,1272825
2017-03,Sydney Metro Contract 4,Adult Single Bus Trip 1,6750
2017-03,Sydney Metro Contract 4,Adult Single Bus Trip 2,3826
2017-03,Sydney Metro Contract 4,Adult Single Bus Trip 3,11337
2017-03,Sydney Metro Contract 4,Child/Youth,110048
2017-03,Sydney Metro Contract 4,Child/Youth Single Bus Trip 1,1940
2017-03,Sydney Metro Contract 4,Child/Youth Single Bus Trip 2,1079
2017-03,Sydney Metro Contract 4,Child/Youth Single Bus Trip 3,1694
2017-03,Sydney Metro Contract 4,Concession,231413
2017-03,Sydney Metro Contract 4,Employee,2
2017-03,Sydney Metro Contract 4,Free Travel,2430
2017-03,Sydney Metro Contract 4,School Student,254953
2017-03,Sydney Metro Contract 4,Senior/Pensioner,218584
2017-03,Sydney Metro Contract 5,Adult,124545
2017-03,Sydney Metro Contract 5,Adult Single Bus Trip 1,5060
2017-03,Sydney Metro Contract 5,Adult Single Bus Trip 2,1442
2017-03,Sydney Metro Contract 5,Adult Single Bus Trip 3,31
2017-03,Sydney Metro Contract 5,Child/Youth,18931
2017-03,Sydney Metro Contract 5,Child/Youth Single Bus Trip 1,1120
2017-03,Sydney Metro Contract 5,Child/Youth Single Bus Trip 2,405
2017-03,Sydney Metro Contract 5,Child/Youth Single Bus Trip 3,6
2017-03,Sydney Metro Contract 5,Concession,19561
2017-03,Sydney Metro Contract 5,Free Travel,628
2017-03,Sydney Metro Contract 5,School Student,48195
2017-03,Sydney Metro Contract 5,Senior/Pensioner,114394
2017-03,Sydney Metro Contract 6,Adult,3067464
2017-03,Sydney Metro Contract 6,Adult Single Bus Trip 1,13657
2017-03,Sydney Metro Contract 6,Adult Single Bus Trip 2,5256
2017-03,Sydney Metro Contract 6,Adult Single Bus Trip 3,456
2017-03,Sydney Metro Contract 6,Child/Youth,143930
2017-03,Sydney Metro Contract 6,Child/Youth Single Bus Trip 1,1895
2017-03,Sydney Metro Contract 6,Child/Youth Single Bus Trip 2,803
2017-03,Sydney Metro Contract 6,Child/Youth Single Bus Trip 3,82
2017-03,Sydney Metro Contract 6,Concession,466234
2017-03,Sydney Metro Contract 6,Employee,26529
2017-03,Sydney Metro Contract 6,Free Travel,5672
2017-03,Sydney Metro Contract 6,School Student,127872
2017-03,Sydney Metro Contract 6,Senior/Pensioner,753269
2017-03,Sydney Metro Contract 7,Adult,1851181
2017-03,Sydney Metro Contract 7,Adult Single Bus Trip 1,5798
2017-03,Sydney Metro Contract 7,Adult Single Bus Trip 2,3823
2017-03,Sydney Metro Contract 7,Adult Single Bus Trip 3,1671
2017-03,Sydney Metro Contract 7,Child/Youth,126221
2017-03,Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,953
2017-03,Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,839
2017-03,Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,220
2017-03,Sydney Metro Contract 7,Concession,213253
2017-03,Sydney Metro Contract 7,Employee,11223
2017-03,Sydney Metro Contract 7,Free Travel,3671
2017-03,Sydney Metro Contract 7,School Student,200648
2017-03,Sydney Metro Contract 7,Senior/Pensioner,383812
2017-03,Sydney Metro Contract 8,Adult,1625199
2017-03,Sydney Metro Contract 8,Adult Single Bus Trip 1,14948
2017-03,Sydney Metro Contract 8,Adult Single Bus Trip 2,10268
2017-03,Sydney Metro Contract 8,Adult Single Bus Trip 3,7342
2017-03,Sydney Metro Contract 8,Child/Youth,133052
2017-03,Sydney Metro Contract 8,Child/Youth Single Bus Trip 1,3184
2017-03,Sydney Metro Contract 8,Child/Youth Single Bus Trip 2,2225
2017-03,Sydney Metro Contract 8,Child/Youth Single Bus Trip 3,1165
2017-03,Sydney Metro Contract 8,Concession,125155
2017-03,Sydney Metro Contract 8,Employee,12365
2017-03,Sydney Metro Contract 8,Free Travel,3509
2017-03,Sydney Metro Contract 8,School Student,222316
2017-03,Sydney Metro Contract 8,Senior/Pensioner,285878
2017-03,Sydney Metro Contract 9,Adult,4877665
2017-03,Sydney Metro Contract 9,Adult Single Bus Trip 1,18308
2017-03,Sydney Metro Contract 9,Adult Single Bus Trip 2,13631
2017-03,Sydney Metro Contract 9,Adult Single Bus Trip 3,1358
2017-03,Sydney Metro Contract 9,Child/Youth,190071
2017-03,Sydney Metro Contract 9,Child/Youth Single Bus Trip 1,2109
2017-03,Sydney Metro Contract 9,Child/Youth Single Bus Trip 2,1040
2017-03,Sydney Metro Contract 9,Child/Youth Single Bus Trip 3,131
2017-03,Sydney Metro Contract 9,Concession,742207
2017-03,Sydney Metro Contract 9,Employee,25023
2017-03,Sydney Metro Contract 9,Free Travel,7123
2017-03,Sydney Metro Contract 9,School Student,100379
2017-03,Sydney Metro Contract 9,Senior/Pensioner,844271
2017-03,UNKNOWN,Adult,125
2017-03,UNKNOWN,Child/Youth,17
2017-03,UNKNOWN,Concession,21
2017-03,UNKNOWN,Senior/Pensioner,51
2017-04,Night Ride 10,Adult,8946
2017-04,Night Ride 10,Adult Single Bus Trip 1,15
2017-04,Night Ride 10,Adult Single Bus Trip 2,42
2017-04,Night Ride 10,Adult Single Bus Trip 3,51
2017-04,Night Ride 10,Child/Youth,119
2017-04,Night Ride 10,Concession,749
2017-04,Night Ride 10,School Student,2
2017-04,Night Ride 10,Senior/Pensioner,344
2017-04,Night Ride 100,Adult,939
2017-04,Night Ride 100,Adult Single Bus Trip 1,17
2017-04,Night Ride 100,Adult Single Bus Trip 2,15
2017-04,Night Ride 100,Child/Youth,30
2017-04,Night Ride 100,Child/Youth Single Bus Trip 2,1
2017-04,Night Ride 100,Concession,78
2017-04,Night Ride 100,Senior/Pensioner,15
2017-04,Night Ride 11,Adult,5561
2017-04,Night Ride 11,Adult Single Bus Trip 1,8
2017-04,Night Ride 11,Adult Single Bus Trip 2,21
2017-04,Night Ride 11,Adult Single Bus Trip 3,46
2017-04,Night Ride 11,Child/Youth,92
2017-04,Night Ride 11,Child/Youth Single Bus Trip 3,2
2017-04,Night Ride 11,Concession,333
2017-04,Night Ride 11,Senior/Pensioner,309
2017-04,Night Ride 20,Adult,512
2017-04,Night Ride 20,Adult Single Bus Trip 1,5
2017-04,Night Ride 20,Adult Single Bus Trip 2,2
2017-04,Night Ride 20,Child/Youth,11
2017-04,Night Ride 20,Concession,26
2017-04,Night Ride 20,Senior/Pensioner,56
2017-04,Night Ride 30,Adult,5972
2017-04,Night Ride 30,Adult Single Bus Trip 1,35
2017-04,Night Ride 30,Adult Single Bus Trip 2,64
2017-04,Night Ride 30,Adult Single Bus Trip 3,153
2017-04,Night Ride 30,Child/Youth,223
2017-04,Night Ride 30,Child/Youth Single Bus Trip 2,2
2017-04,Night Ride 30,Child/Youth Single Bus Trip 3,9
2017-04,Night Ride 30,Concession,849
2017-04,Night Ride 30,Free Travel,13
2017-04,Night Ride 30,Senior/Pensioner,740
2017-04,Night Ride 40,Adult,6699
2017-04,Night Ride 40,Adult Single Bus Trip 1,23
2017-04,Night Ride 40,Adult Single Bus Trip 2,40
2017-04,Night Ride 40,Adult Single Bus Trip 3,66
2017-04,Night Ride 40,Child/Youth,172
2017-04,Night Ride 40,Child/Youth Single Bus Trip 1,5
2017-04,Night Ride 40,Child/Youth Single Bus Trip 2,2
2017-04,Night Ride 40,Child/Youth Single Bus Trip 3,13
2017-04,Night Ride 40,Concession,705
2017-04,Night Ride 40,Senior/Pensioner,702
2017-04,Night Ride 50,Adult,7682
2017-04,Night Ride 50,Adult Single Bus Trip 1,38
2017-04,Night Ride 50,Adult Single Bus Trip 2,59
2017-04,Night Ride 50,Adult Single Bus Trip 3,61
2017-04,Night Ride 50,Child/Youth,146
2017-04,Night Ride 50,Child/Youth Single Bus Trip 1,1
2017-04,Night Ride 50,Child/Youth Single Bus Trip 2,4
2017-04,Night Ride 50,Child/Youth Single Bus Trip 3,5
2017-04,Night Ride 50,Concession,681
2017-04,Night Ride 50,Free Travel,1
2017-04,Night Ride 50,Senior/Pensioner,824
2017-04,Night Ride 60,Adult,11868
2017-04,Night Ride 60,Adult Single Bus Trip 1,28
2017-04,Night Ride 60,Adult Single Bus Trip 2,73
2017-04,Night Ride 60,Adult Single Bus Trip 3,129
2017-04,Night Ride 60,Child/Youth,146
2017-04,Night Ride 60,Child/Youth Single Bus Trip 1,2
2017-04,Night Ride 60,Child/Youth Single Bus Trip 2,9
2017-04,Night Ride 60,Child/Youth Single Bus Trip 3,7
2017-04,Night Ride 60,Concession,609
2017-04,Night Ride 60,Employee,1
2017-04,Night Ride 60,Free Travel,7
2017-04,Night Ride 60,Senior/Pensioner,969
2017-04,Night Ride 61,Adult,1702
2017-04,Night Ride 61,Adult Single Bus Trip 1,3
2017-04,Night Ride 61,Adult Single Bus Trip 2,13
2017-04,Night Ride 61,Adult Single Bus Trip 3,17
2017-04,Night Ride 61,Child/Youth,13
2017-04,Night Ride 61,Child/Youth Single Bus Trip 2,2
2017-04,Night Ride 61,Child/Youth Single Bus Trip 3,5
2017-04,Night Ride 61,Concession,146
2017-04,Night Ride 61,Senior/Pensioner,96
2017-04,Night Ride 70,Adult,5880
2017-04,Night Ride 70,Adult Single Bus Trip 1,13
2017-04,Night Ride 70,Adult Single Bus Trip 2,18
2017-04,Night Ride 70,Adult Single Bus Trip 3,84
2017-04,Night Ride 70,Child/Youth,112
2017-04,Night Ride 70,Child/Youth Single Bus Trip 1,2
2017-04,Night Ride 70,Child/Youth Single Bus Trip 2,3
2017-04,Night Ride 70,Child/Youth Single Bus Trip 3,6
2017-04,Night Ride 70,Concession,468
2017-04,Night Ride 70,Senior/Pensioner,620
2017-04,Night Ride 71,Adult,1957
2017-04,Night Ride 71,Adult Single Bus Trip 1,2
2017-04,Night Ride 71,Adult Single Bus Trip 2,16
2017-04,Night Ride 71,Adult Single Bus Trip 3,46
2017-04,Night Ride 71,Child/Youth,60
2017-04,Night Ride 71,Child/Youth Single Bus Trip 1,1
2017-04,Night Ride 71,Child/Youth Single Bus Trip 2,3
2017-04,Night Ride 71,Child/Youth Single Bus Trip 3,3
2017-04,Night Ride 71,Concession,300
2017-04,Night Ride 71,Senior/Pensioner,156
2017-04,Night Ride 80,Adult,4245
2017-04,Night Ride 80,Adult Single Bus Trip 1,15
2017-04,Night Ride 80,Adult Single Bus Trip 2,17
2017-04,Night Ride 80,Adult Single Bus Trip 3,60
2017-04,Night Ride 80,Child/Youth,129
2017-04,Night Ride 80,Child/Youth Single Bus Trip 2,7
2017-04,Night Ride 80,Child/Youth Single Bus Trip 3,6
2017-04,Night Ride 80,Concession,636
2017-04,Night Ride 80,Senior/Pensioner,294
2017-04,Night Ride 90,Adult,5876
2017-04,Night Ride 90,Adult Single Bus Trip 1,20
2017-04,Night Ride 90,Adult Single Bus Trip 2,46
2017-04,Night Ride 90,Adult Single Bus Trip 3,48
2017-04,Night Ride 90,Child/Youth,338
2017-04,Night Ride 90,Child/Youth Single Bus Trip 1,1
2017-04,Night Ride 90,Child/Youth Single Bus Trip 2,6
2017-04,Night Ride 90,Child/Youth Single Bus Trip 3,10
2017-04,Night Ride 90,Concession,1233
2017-04,Night Ride 90,Free Travel,3
2017-04,Night Ride 90,Senior/Pensioner,223
2017-04,Outer Sydney Metro Contract 1,Adult,2473
2017-04,Outer Sydney Metro Contract 1,Adult Single Bus Trip 1,400
2017-04,Outer Sydney Metro Contract 1,Adult Single Bus Trip 2,245
2017-04,Outer Sydney Metro Contract 1,Adult Single Bus Trip 3,1171
2017-04,Outer Sydney Metro Contract 1,Child/Youth,1598
2017-04,Outer Sydney Metro Contract 1,Child/Youth Single Bus Trip 1,246
2017-04,Outer Sydney Metro Contract 1,Child/Youth Single Bus Trip 2,90
2017-04,Outer Sydney Metro Contract 1,Child/Youth Single Bus Trip 3,473
2017-04,Outer Sydney Metro Contract 1,Concession,1239
2017-04,Outer Sydney Metro Contract 1,Free Travel,169
2017-04,Outer Sydney Metro Contract 1,School Student,16662
2017-04,Outer Sydney Metro Contract 1,Senior/Pensioner,6504
2017-04,Outer Sydney Metro Contract 10,Adult,42050
2017-04,Outer Sydney Metro Contract 10,Adult Single Bus Trip 1,7079
2017-04,Outer Sydney Metro Contract 10,Adult Single Bus Trip 2,5577
2017-04,Outer Sydney Metro Contract 10,Adult Single Bus Trip 3,1948
2017-04,Outer Sydney Metro Contract 10,Child/Youth,17799
2017-04,Outer Sydney Metro Contract 10,Child/Youth Single Bus Trip 1,2711
2017-04,Outer Sydney Metro Contract 10,Child/Youth Single Bus Trip 2,2471
2017-04,Outer Sydney Metro Contract 10,Child/Youth Single Bus Trip 3,496
2017-04,Outer Sydney Metro Contract 10,Concession,14440
2017-04,Outer Sydney Metro Contract 10,Free Travel,1140
2017-04,Outer Sydney Metro Contract 10,School Student,77286
2017-04,Outer Sydney Metro Contract 10,Senior/Pensioner,95481
2017-04,Outer Sydney Metro Contract 11,Adult,652
2017-04,Outer Sydney Metro Contract 11,Adult Single Bus Trip 1,53
2017-04,Outer Sydney Metro Contract 11,Adult Single Bus Trip 2,79
2017-04,Outer Sydney Metro Contract 11,Adult Single Bus Trip 3,32
2017-04,Outer Sydney Metro Contract 11,Child/Youth,415
2017-04,Outer Sydney Metro Contract 11,Child/Youth Single Bus Trip 1,53
2017-04,Outer Sydney Metro Contract 11,Child/Youth Single Bus Trip 2,71
2017-04,Outer Sydney Metro Contract 11,Child/Youth Single Bus Trip 3,49
2017-04,Outer Sydney Metro Contract 11,Concession,188
2017-04,Outer Sydney Metro Contract 11,Free Travel,23
2017-04,Outer Sydney Metro Contract 11,School Student,3482
2017-04,Outer Sydney Metro Contract 11,Senior/Pensioner,1082
2017-04,Outer Sydney Metro Contract 12,Adult,10025
2017-04,Outer Sydney Metro Contract 12,Adult Single Bus Trip 1,1054
2017-04,Outer Sydney Metro Contract 12,Adult Single Bus Trip 2,1237
2017-04,Outer Sydney Metro Contract 12,Adult Single Bus Trip 3,502
2017-04,Outer Sydney Metro Contract 12,Child/Youth,3507
2017-04,Outer Sydney Metro Contract 12,Child/Youth Single Bus Trip 1,201
2017-04,Outer Sydney Metro Contract 12,Child/Youth Single Bus Trip 2,310
2017-04,Outer Sydney Metro Contract 12,Child/Youth Single Bus Trip 3,144
2017-04,Outer Sydney Metro Contract 12,Concession,2839
2017-04,Outer Sydney Metro Contract 12,Free Travel,200
2017-04,Outer Sydney Metro Contract 12,School Student,7925
2017-04,Outer Sydney Metro Contract 12,Senior/Pensioner,17321
2017-04,Outer Sydney Metro Contract 2,Adult,10316
2017-04,Outer Sydney Metro Contract 2,Adult Single Bus Trip 1,2206
2017-04,Outer Sydney Metro Contract 2,Adult Single Bus Trip 2,1178
2017-04,Outer Sydney Metro Contract 2,Adult Single Bus Trip 3,1192
2017-04,Outer Sydney Metro Contract 2,Child/Youth,6533
2017-04,Outer Sydney Metro Contract 2,Child/Youth Single Bus Trip 1,592
2017-04,Outer Sydney Metro Contract 2,Child/Youth Single Bus Trip 2,480
2017-04,Outer Sydney Metro Contract 2,Child/Youth Single Bus Trip 3,641
2017-04,Outer Sydney Metro Contract 2,Concession,3438
2017-04,Outer Sydney Metro Contract 2,Free Travel,490
2017-04,Outer Sydney Metro Contract 2,School Student,47328
2017-04,Outer Sydney Metro Contract 2,Senior/Pensioner,25827
2017-04,Outer Sydney Metro Contract 3,Adult,6281
2017-04,Outer Sydney Metro Contract 3,Adult Single Bus Trip 1,692
2017-04,Outer Sydney Metro Contract 3,Adult Single Bus Trip 2,1182
2017-04,Outer Sydney Metro Contract 3,Adult Single Bus Trip 3,1603
2017-04,Outer Sydney Metro Contract 3,Child/Youth,1994
2017-04,Outer Sydney Metro Contract 3,Child/Youth Single Bus Trip 1,267
2017-04,Outer Sydney Metro Contract 3,Child/Youth Single Bus Trip 2,1020
2017-04,Outer Sydney Metro Contract 3,Child/Youth Single Bus Trip 3,540
2017-04,Outer Sydney Metro Contract 3,Concession,1013
2017-04,Outer Sydney Metro Contract 3,Free Travel,106
2017-04,Outer Sydney Metro Contract 3,School Student,4639
2017-04,Outer Sydney Metro Contract 3,Senior/Pensioner,8339
2017-04,Outer Sydney Metro Contract 4,Adult,13194
2017-04,Outer Sydney Metro Contract 4,Adult Single Bus Trip 1,1604
2017-04,Outer Sydney Metro Contract 4,Adult Single Bus Trip 2,1242
2017-04,Outer Sydney Metro Contract 4,Adult Single Bus Trip 3,300
2017-04,Outer Sydney Metro Contract 4,Child/Youth,5634
2017-04,Outer Sydney Metro Contract 4,Child/Youth Single Bus Trip 1,451
2017-04,Outer Sydney Metro Contract 4,Child/Youth Single Bus Trip 2,787
2017-04,Outer Sydney Metro Contract 4,Child/Youth Single Bus Trip 3,227
2017-04,Outer Sydney Metro Contract 4,Concession,5428
2017-04,Outer Sydney Metro Contract 4,Free Travel,209
2017-04,Outer Sydney Metro Contract 4,School Student,10664
2017-04,Outer Sydney Metro Contract 4,Senior/Pensioner,23378
2017-04,Outer Sydney Metro Contract 5,Adult,98592
2017-04,Outer Sydney Metro Contract 5,Adult Single Bus Trip 1,7998
2017-04,Outer Sydney Metro Contract 5,Adult Single Bus Trip 2,7561
2017-04,Outer Sydney Metro Contract 5,Adult Single Bus Trip 3,1964
2017-04,Outer Sydney Metro Contract 5,Child/Youth,24907
2017-04,Outer Sydney Metro Contract 5,Child/Youth Single Bus Trip 1,2313
2017-04,Outer Sydney Metro Contract 5,Child/Youth Single Bus Trip 2,2783
2017-04,Outer Sydney Metro Contract 5,Child/Youth Single Bus Trip 3,1065
2017-04,Outer Sydney Metro Contract 5,Concession,31502
2017-04,Outer Sydney Metro Contract 5,Employee,2782
2017-04,Outer Sydney Metro Contract 5,Free Travel,1152
2017-04,Outer Sydney Metro Contract 5,School Student,37898
2017-04,Outer Sydney Metro Contract 5,Senior/Pensioner,125352
2017-04,Outer Sydney Metro Contract 6,Adult,78340
2017-04,Outer Sydney Metro Contract 6,Adult Single Bus Trip 1,6138
2017-04,Outer Sydney Metro Contract 6,Adult Single Bus Trip 2,5098
2017-04,Outer Sydney Metro Contract 6,Adult Single Bus Trip 3,1346
2017-04,Outer Sydney Metro Contract 6,Child/Youth,26724
2017-04,Outer Sydney Metro Contract 6,Child/Youth Single Bus Trip 1,2634
2017-04,Outer Sydney Metro Contract 6,Child/Youth Single Bus Trip 2,3595
2017-04,Outer Sydney Metro Contract 6,Child/Youth Single Bus Trip 3,977
2017-04,Outer Sydney Metro Contract 6,Concession,15348
2017-04,Outer Sydney Metro Contract 6,Free Travel,1534
2017-04,Outer Sydney Metro Contract 6,School Student,33767
2017-04,Outer Sydney Metro Contract 6,Senior/Pensioner,113005
2017-04,Outer Sydney Metro Contract 7,Adult,35590
2017-04,Outer Sydney Metro Contract 7,Adult Single Bus Trip 1,3313
2017-04,Outer Sydney Metro Contract 7,Adult Single Bus Trip 2,2251
2017-04,Outer Sydney Metro Contract 7,Adult Single Bus Trip 3,1684
2017-04,Outer Sydney Metro Contract 7,Child/Youth,16042
2017-04,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,1484
2017-04,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,1502
2017-04,Outer Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,999
2017-04,Outer Sydney Metro Contract 7,Concession,7523
2017-04,Outer Sydney Metro Contract 7,Free Travel,682
2017-04,Outer Sydney Metro Contract 7,School Student,43535
2017-04,Outer Sydney Metro Contract 7,Senior/Pensioner,53816
2017-04,Outer Sydney Metro Contract 8,Adult,33770
2017-04,Outer Sydney Metro Contract 8,Adult Single Bus Trip 1,1665
2017-04,Outer Sydney Metro Contract 8,Adult Single Bus Trip 2,363
2017-04,Outer Sydney Metro Contract 8,Adult Single Bus Trip 3,59
2017-04,Outer Sydney Metro Contract 8,Child/Youth,5871
2017-04,Outer Sydney Metro Contract 8,Child/Youth Single Bus Trip 1,300
2017-04,Outer Sydney Metro Contract 8,Child/Youth Single Bus Trip 2,105
2017-04,Outer Sydney Metro Contract 8,Child/Youth Single Bus Trip 3,12
2017-04,Outer Sydney Metro Contract 8,Concession,1969
2017-04,Outer Sydney Metro Contract 8,Free Travel,134
2017-04,Outer Sydney Metro Contract 8,School Student,22391
2017-04,Outer Sydney Metro Contract 8,Senior/Pensioner,15332
2017-04,Outer Sydney Metro Contract 9,Adult,6385
2017-04,Outer Sydney Metro Contract 9,Adult Single Bus Trip 1,185
2017-04,Outer Sydney Metro Contract 9,Adult Single Bus Trip 2,108
2017-04,Outer Sydney Metro Contract 9,Adult Single Bus Trip 3,117
2017-04,Outer Sydney Metro Contract 9,Child/Youth,1484
2017-04,Outer Sydney Metro Contract 9,Child/Youth Single Bus Trip 1,90
2017-04,Outer Sydney Metro Contract 9,Child/Youth Single Bus Trip 2,38
2017-04,Outer Sydney Metro Contract 9,Child/Youth Single Bus Trip 3,45
2017-04,Outer Sydney Metro Contract 9,Concession,532
2017-04,Outer Sydney Metro Contract 9,Free Travel,64
2017-04,Outer Sydney Metro Contract 9,School Student,7821
2017-04,Outer Sydney Metro Contract 9,Senior/Pensioner,3893
