Year_Month,Location,Card_type,Trip
2016-07,Leichhardt North Light Rail,Senior/Pensioner,975
2016-07,Leichhardt North Light Rail,Sgl Trip LR Child/Youth,2
2016-07,Lewisham West Light Rail,Adult,5183
2016-07,Lewisham West Light Rail,Child/Youth,1039
2016-07,Lewisham West Light Rail,Concession,431
2016-07,Lewisham West Light Rail,Free Travel,1
2016-07,Lewisham West Light Rail,School Student,54
2016-07,Lewisham West Light Rail,Senior/Pensioner,644
2016-07,Lilyfield Light Rail,Adult,10096
2016-07,Lilyfield Light Rail,Child/Youth,1637
2016-07,Lilyfield Light Rail,Concession,576
2016-07,Lilyfield Light Rail,Free Travel,16
2016-07,Lilyfield Light Rail,School Student,56
2016-07,Lilyfield Light Rail,Senior/Pensioner,2343
2016-07,Lilyfield Light Rail,Sgl Trip LR Adult,22
2016-07,Lilyfield Light Rail,Sgl Trip LR Child/Youth,12
2016-07,Marion Light Rail,Adult,6300
2016-07,Marion Light Rail,Child/Youth,1009
2016-07,Marion Light Rail,Concession,375
2016-07,Marion Light Rail,Free Travel,2
2016-07,Marion Light Rail,School Student,6
2016-07,Marion Light Rail,Senior/Pensioner,1604
2016-07,Marion Light Rail,Sgl Trip LR Adult,17
2016-07,Marion Light Rail,Sgl Trip LR Child/Youth,6
2016-07,"Paddy's Markets Light Rail",Adult,55688
2016-07,"Paddy's Markets Light Rail",Child/Youth,5461
2016-07,"Paddy's Markets Light Rail",Concession,2184
2016-07,"Paddy's Markets Light Rail",Free Travel,63
2016-07,"Paddy's Markets Light Rail",School Student,6
2016-07,"Paddy's Markets Light Rail",Senior/Pensioner,13139
2016-07,"Paddy's Markets Light Rail",Sgl Trip LR Adult,62
2016-07,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,13
2016-07,Pyrmont Bay Light Rail,Adult,53890
2016-07,Pyrmont Bay Light Rail,Child/Youth,3114
2016-07,Pyrmont Bay Light Rail,Concession,1906
2016-07,Pyrmont Bay Light Rail,Free Travel,70
2016-07,Pyrmont Bay Light Rail,School Student,1
2016-07,Pyrmont Bay Light Rail,Senior/Pensioner,4200
2016-07,Pyrmont Bay Light Rail,Sgl Trip LR Adult,88
2016-07,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,40
2016-07,Rozelle Bay Light Rail,Adult,7801
2016-07,Rozelle Bay Light Rail,Child/Youth,1057
2016-07,Rozelle Bay Light Rail,Concession,342
2016-07,Rozelle Bay Light Rail,Free Travel,23
2016-07,Rozelle Bay Light Rail,School Student,12
2016-07,Rozelle Bay Light Rail,Senior/Pensioner,1426
2016-07,Rozelle Bay Light Rail,Sgl Trip LR Adult,25
2016-07,Rozelle Bay Light Rail,Sgl Trip LR Child/Youth,4
2016-07,Taverners Hill Light Rail,Adult,3587
2016-07,Taverners Hill Light Rail,Child/Youth,595
2016-07,Taverners Hill Light Rail,Concession,244
2016-07,Taverners Hill Light Rail,Free Travel,14
2016-07,Taverners Hill Light Rail,School Student,30
2016-07,Taverners Hill Light Rail,Senior/Pensioner,596
2016-07,The Star Light Rail,Adult,73908
2016-07,The Star Light Rail,Child/Youth,1863
2016-07,The Star Light Rail,Concession,3453
