Year_Month,Location,Card_type,Trip
2018-09,Marion Light Rail,Concession,526
2018-09,Marion Light Rail,Employee,2
2018-09,Marion Light Rail,Free Travel,3
2018-09,Marion Light Rail,School Student,133
2018-09,Marion Light Rail,Senior/Pensioner,1690
2018-09,Marion Light Rail,Sgl Trip LR Adult,34
2018-09,Marion Light Rail,Sgl Trip LR Child/Youth,13
2018-09,"Paddy's Markets Light Rail",Adult,46484
2018-09,"Paddy's Markets Light Rail",CTP,829
2018-09,"Paddy's Markets Light Rail",Child/Youth,3265
2018-09,"Paddy's Markets Light Rail",Concession,2655
2018-09,"Paddy's Markets Light Rail",Employee,62
2018-09,"Paddy's Markets Light Rail",Free Travel,58
2018-09,"Paddy's Markets Light Rail",School Student,87
2018-09,"Paddy's Markets Light Rail",Senior/Pensioner,13326
2018-09,"Paddy's Markets Light Rail",Sgl Trip LR Adult,366
2018-09,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,59
2018-09,Pyrmont Bay Light Rail,Adult,41914
2018-09,Pyrmont Bay Light Rail,CTP,890
2018-09,Pyrmont Bay Light Rail,Child/Youth,1981
2018-09,Pyrmont Bay Light Rail,Concession,1611
2018-09,Pyrmont Bay Light Rail,Employee,27
2018-09,Pyrmont Bay Light Rail,Free Travel,65
2018-09,Pyrmont Bay Light Rail,School Student,81
2018-09,Pyrmont Bay Light Rail,Senior/Pensioner,4127
2018-09,Pyrmont Bay Light Rail,Sgl Trip LR Adult,287
2018-09,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,33
2018-09,Rozelle Bay Light Rail,Adult,8618
2018-09,Rozelle Bay Light Rail,CTP,192
2018-09,Rozelle Bay Light Rail,Child/Youth,736
2018-09,Rozelle Bay Light Rail,Concession,450
2018-09,Rozelle Bay Light Rail,Employee,11
2018-09,Rozelle Bay Light Rail,Free Travel,6
2018-09,Rozelle Bay Light Rail,School Student,96
2018-09,Rozelle Bay Light Rail,Senior/Pensioner,1296
2018-09,Rozelle Bay Light Rail,Sgl Trip LR Adult,61
2018-09,Rozelle Bay Light Rail,Sgl Trip LR Child/Youth,16
2018-09,Taverners Hill Light Rail,Adult,5355
2018-09,Taverners Hill Light Rail,CTP,159
2018-09,Taverners Hill Light Rail,Child/Youth,607
2018-09,Taverners Hill Light Rail,Concession,290
2018-09,Taverners Hill Light Rail,Employee,5
2018-09,Taverners Hill Light Rail,Free Travel,5
2018-09,Taverners Hill Light Rail,School Student,236
2018-09,Taverners Hill Light Rail,Senior/Pensioner,685
2018-09,The Star Light Rail,Adult,64497
2018-09,The Star Light Rail,CTP,922
2018-09,The Star Light Rail,Child/Youth,994
2018-09,The Star Light Rail,Concession,2742
2018-09,The Star Light Rail,Employee,116
2018-09,The Star Light Rail,Free Travel,77
2018-09,The Star Light Rail,School Student,17
2018-09,The Star Light Rail,Senior/Pensioner,22323
2018-09,The Star Light Rail,Sgl Trip LR Adult,334
2018-09,The Star Light Rail,Sgl Trip LR Child/Youth,28
2018-09,Waratah Mills Light Rail,Adult,5212
2018-09,Waratah Mills Light Rail,CTP,215
2018-09,Waratah Mills Light Rail,Child/Youth,576
2018-09,Waratah Mills Light Rail,Concession,391
2018-09,Waratah Mills Light Rail,Employee,2
2018-09,Waratah Mills Light Rail,Free Travel,2
2018-09,Waratah Mills Light Rail,School Student,360
2018-09,Waratah Mills Light Rail,Senior/Pensioner,1037
2018-09,Wentworth Park Light Rail,Adult,14041
2018-09,Wentworth Park Light Rail,CTP,545
2018-09,Wentworth Park Light Rail,Child/Youth,940
2018-09,Wentworth Park Light Rail,Concession,1094
2018-09,Wentworth Park Light Rail,Employee,7
2018-09,Wentworth Park Light Rail,Free Travel,9
2018-09,Wentworth Park Light Rail,School Student,397
2018-09,Wentworth Park Light Rail,Senior/Pensioner,1279
2018-09,Wentworth Park Light Rail,Sgl Trip LR Adult,8
2018-10,Arlington Light Rail,Adult,11003
2018-10,Arlington Light Rail,CTP,235
2018-10,Arlington Light Rail,Child/Youth,1008
2018-10,Arlington Light Rail,Concession,583
2018-10,Arlington Light Rail,Employee,46
2018-10,Arlington Light Rail,Free Travel,13
2018-10,Arlington Light Rail,School Student,249
2018-10,Arlington Light Rail,Senior/Pensioner,1002
2018-10,Arlington Light Rail,Sgl Trip LR Adult,53
2018-10,Arlington Light Rail,Sgl Trip LR Child/Youth,17
2018-10,Capitol Square Light Rail,Adult,35008
2018-10,Capitol Square Light Rail,CTP,645
2018-10,Capitol Square Light Rail,Child/Youth,1416
2018-10,Capitol Square Light Rail,Concession,991
2018-10,Capitol Square Light Rail,Employee,103
2018-10,Capitol Square Light Rail,Free Travel,40
2018-10,Capitol Square Light Rail,School Student,66
2018-10,Capitol Square Light Rail,Senior/Pensioner,10988
2018-10,Capitol Square Light Rail,Sgl Trip LR Adult,160
2018-10,Capitol Square Light Rail,Sgl Trip LR Child/Youth,23
2018-10,Central Grand Concourse Light Rail,Adult,171420
2018-10,Central Grand Concourse Light Rail,CTP,807
2018-10,Central Grand Concourse Light Rail,Child/Youth,8826
2018-10,Central Grand Concourse Light Rail,Concession,7856
2018-10,Central Grand Concourse Light Rail,Day Pass without SAF,1
2018-10,Central Grand Concourse Light Rail,Employee,474
2018-10,Central Grand Concourse Light Rail,Free Travel,305
2018-10,Central Grand Concourse Light Rail,School Student,122
2018-10,Central Grand Concourse Light Rail,Senior/Pensioner,45988
2018-10,Central Grand Concourse Light Rail,Sgl Trip LR Adult,676
2018-10,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,113
2018-10,Convention Light Rail,Adult,35109
2018-10,Convention Light Rail,CTP,596
2018-10,Convention Light Rail,Child/Youth,3166
2018-10,Convention Light Rail,Concession,1392
2018-10,Convention Light Rail,Employee,103
2018-10,Convention Light Rail,Free Travel,62
2018-10,Convention Light Rail,School Student,67
2018-10,Convention Light Rail,Senior/Pensioner,5163
2018-10,Convention Light Rail,Sgl Trip LR Adult,391
2018-10,Convention Light Rail,Sgl Trip LR Child/Youth,80
2018-10,Dulwich Grove Light Rail,Adult,7588
2018-10,Dulwich Grove Light Rail,CTP,170
2018-10,Dulwich Grove Light Rail,Child/Youth,585
2018-10,Dulwich Grove Light Rail,Concession,450
2018-10,Dulwich Grove Light Rail,Employee,19
2018-10,Dulwich Grove Light Rail,Free Travel,2
2018-10,Dulwich Grove Light Rail,School Student,204
2018-10,Dulwich Grove Light Rail,Senior/Pensioner,956
2018-10,Dulwich Grove Light Rail,Sgl Trip LR Adult,48
2018-10,Dulwich Grove Light Rail,Sgl Trip LR Child/Youth,13
2018-10,Dulwich Hill Light Rail,Adult,19303
2018-10,Dulwich Hill Light Rail,CTP,315
2018-10,Dulwich Hill Light Rail,Child/Youth,1870
2018-10,Dulwich Hill Light Rail,Concession,1035
2018-10,Dulwich Hill Light Rail,Employee,46
2018-10,Dulwich Hill Light Rail,Free Travel,9
2018-10,Dulwich Hill Light Rail,School Student,347
2018-10,Dulwich Hill Light Rail,Senior/Pensioner,2946
2018-10,Dulwich Hill Light Rail,Sgl Trip LR Adult,41
2018-10,Dulwich Hill Light Rail,Sgl Trip LR Child/Youth,30
2018-10,Exhibition Centre Light Rail,Adult,15850
2018-10,Exhibition Centre Light Rail,CTP,464
2018-10,Exhibition Centre Light Rail,Child/Youth,1569
2018-10,Exhibition Centre Light Rail,Concession,698
2018-10,Exhibition Centre Light Rail,Employee,27
2018-10,Exhibition Centre Light Rail,Free Travel,22
2018-10,Exhibition Centre Light Rail,School Student,21
2018-10,Exhibition Centre Light Rail,Senior/Pensioner,4181
2018-10,Exhibition Centre Light Rail,Sgl Trip LR Adult,20
2018-10,Exhibition Centre Light Rail,Sgl Trip LR Child/Youth,10
2018-10,Fish Market Light Rail,Adult,32099
2018-10,Fish Market Light Rail,CTP,568
2018-10,Fish Market Light Rail,Child/Youth,1300
2018-10,Fish Market Light Rail,Concession,738
2018-10,Fish Market Light Rail,Employee,30
2018-10,Fish Market Light Rail,Free Travel,18
2018-10,Fish Market Light Rail,School Student,145
2018-10,Fish Market Light Rail,Senior/Pensioner,4269
2018-10,Fish Market Light Rail,Sgl Trip LR Adult,203
2018-10,Fish Market Light Rail,Sgl Trip LR Child/Youth,17
2018-10,Glebe Light Rail,Adult,10682
2018-10,Glebe Light Rail,CTP,406
2018-10,Glebe Light Rail,Child/Youth,1094
2018-10,Glebe Light Rail,Concession,636
2018-10,Glebe Light Rail,Employee,38
2018-10,Glebe Light Rail,Free Travel,1
2018-10,Glebe Light Rail,School Student,306
2018-10,Glebe Light Rail,Senior/Pensioner,1612
2018-10,Glebe Light Rail,Sgl Trip LR Adult,76
2018-10,Glebe Light Rail,Sgl Trip LR Child/Youth,15
2018-10,Hawthorne Light Rail,Adult,8837
2018-10,Hawthorne Light Rail,CTP,376
2018-10,Hawthorne Light Rail,Child/Youth,914
2018-10,Hawthorne Light Rail,Concession,581
2018-10,Hawthorne Light Rail,Employee,3
2018-10,Hawthorne Light Rail,Free Travel,11
2018-10,Hawthorne Light Rail,School Student,208
2018-10,Hawthorne Light Rail,Senior/Pensioner,1187
2018-10,Hawthorne Light Rail,Sgl Trip LR Adult,44
2018-10,Hawthorne Light Rail,Sgl Trip LR Child/Youth,22
2018-10,John Street Square Light Rail,Adult,20395
2018-10,John Street Square Light Rail,CTP,340
2018-10,John Street Square Light Rail,Child/Youth,581
2018-10,John Street Square Light Rail,Concession,774
2018-10,John Street Square Light Rail,Employee,16
2018-10,John Street Square Light Rail,Free Travel,16
2018-10,John Street Square Light Rail,School Student,80
2018-10,John Street Square Light Rail,Senior/Pensioner,2558
2018-10,John Street Square Light Rail,Sgl Trip LR Adult,51
2018-10,John Street Square Light Rail,Sgl Trip LR Child/Youth,4
2018-10,Jubilee Park Light Rail,Adult,19896
2018-10,Jubilee Park Light Rail,CTP,585
2018-10,Jubilee Park Light Rail,Child/Youth,2123
2018-10,Jubilee Park Light Rail,Concession,762
2018-10,Jubilee Park Light Rail,Employee,13
2018-10,Jubilee Park Light Rail,Free Travel,15
2018-10,Jubilee Park Light Rail,School Student,684
2018-10,Jubilee Park Light Rail,Senior/Pensioner,2380
2018-10,Jubilee Park Light Rail,Sgl Trip LR Adult,101
2018-10,Jubilee Park Light Rail,Sgl Trip LR Child/Youth,45
2018-10,Leichhardt North Light Rail,Adult,7742
2018-10,Leichhardt North Light Rail,CTP,366
2018-10,Leichhardt North Light Rail,Child/Youth,805
2018-10,Leichhardt North Light Rail,Concession,644
2018-10,Leichhardt North Light Rail,Day Pass without SAF,1
2018-10,Leichhardt North Light Rail,Employee,35
2018-10,Leichhardt North Light Rail,Free Travel,2
2018-10,Leichhardt North Light Rail,School Student,529
2018-10,Leichhardt North Light Rail,Senior/Pensioner,1036
2018-10,Leichhardt North Light Rail,Sgl Trip LR Adult,1
2018-10,Leichhardt North Light Rail,Sgl Trip LR Child/Youth,1
2018-10,Lewisham West Light Rail,Adult,10239
2018-10,Lewisham West Light Rail,CTP,303
2018-10,Lewisham West Light Rail,Child/Youth,1109
2018-10,Lewisham West Light Rail,Concession,583
2018-10,Lewisham West Light Rail,Employee,61
2018-10,Lewisham West Light Rail,Free Travel,15
2018-10,Lewisham West Light Rail,School Student,282
2018-10,Lewisham West Light Rail,Senior/Pensioner,840
2018-10,Lewisham West Light Rail,Sgl Trip LR Adult,3
2018-10,Lewisham West Light Rail,Sgl Trip LR Child/Youth,2
2018-10,Lilyfield Light Rail,Adult,10891
2018-10,Lilyfield Light Rail,CTP,378
2018-10,Lilyfield Light Rail,Child/Youth,1095
2018-10,Lilyfield Light Rail,Concession,567
2018-10,Lilyfield Light Rail,Employee,33
2018-10,Lilyfield Light Rail,Free Travel,22
2018-10,Lilyfield Light Rail,School Student,201
2018-10,Lilyfield Light Rail,Senior/Pensioner,2181
2018-10,Lilyfield Light Rail,Sgl Trip LR Adult,45
2018-10,Lilyfield Light Rail,Sgl Trip LR Child/Youth,33
2018-10,Marion Light Rail,Adult,6663
2018-10,Marion Light Rail,CTP,171
2018-10,Marion Light Rail,Child/Youth,1021
2018-10,Marion Light Rail,Concession,473
2018-10,Marion Light Rail,Employee,7
2018-10,Marion Light Rail,Free Travel,6
2018-10,Marion Light Rail,School Student,69
2018-10,Marion Light Rail,Senior/Pensioner,1632
2018-10,Marion Light Rail,Sgl Trip LR Adult,49
2018-10,Marion Light Rail,Sgl Trip LR Child/Youth,9
2018-10,"Paddy's Markets Light Rail",Adult,44368
2018-10,"Paddy's Markets Light Rail",CTP,941
2018-10,"Paddy's Markets Light Rail",Child/Youth,4225
2018-10,"Paddy's Markets Light Rail",Concession,2663
2018-10,"Paddy's Markets Light Rail",Employee,52
2018-10,"Paddy's Markets Light Rail",Free Travel,78
2018-10,"Paddy's Markets Light Rail",School Student,43
2018-10,"Paddy's Markets Light Rail",Senior/Pensioner,12256
2018-10,"Paddy's Markets Light Rail",Sgl Trip LR Adult,281
2018-10,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,75
2018-10,Pyrmont Bay Light Rail,Adult,43076
2018-10,Pyrmont Bay Light Rail,CTP,975
2018-10,Pyrmont Bay Light Rail,Child/Youth,2385
2018-10,Pyrmont Bay Light Rail,Concession,1473
2018-10,Pyrmont Bay Light Rail,Employee,50
2018-10,Pyrmont Bay Light Rail,Free Travel,60
2018-10,Pyrmont Bay Light Rail,School Student,58
2018-10,Pyrmont Bay Light Rail,Senior/Pensioner,4199
2018-10,Pyrmont Bay Light Rail,Sgl Trip LR Adult,258
2018-10,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,57
2018-10,Rozelle Bay Light Rail,Adult,8517
2018-10,Rozelle Bay Light Rail,CTP,283
2018-10,Rozelle Bay Light Rail,Child/Youth,875
2018-10,Rozelle Bay Light Rail,Concession,510
2018-10,Rozelle Bay Light Rail,Employee,7
2018-10,Rozelle Bay Light Rail,Free Travel,6
2018-10,Rozelle Bay Light Rail,School Student,42
2018-10,Rozelle Bay Light Rail,Senior/Pensioner,1295
2018-10,Rozelle Bay Light Rail,Sgl Trip LR Adult,72
2018-10,Rozelle Bay Light Rail,Sgl Trip LR Child/Youth,17
2018-10,Taverners Hill Light Rail,Adult,5157
2018-10,Taverners Hill Light Rail,CTP,106
2018-10,Taverners Hill Light Rail,Child/Youth,495
2018-10,Taverners Hill Light Rail,Concession,220
2018-10,Taverners Hill Light Rail,Employee,5
2018-10,Taverners Hill Light Rail,Free Travel,6
2018-10,Taverners Hill Light Rail,School Student,158
2018-10,Taverners Hill Light Rail,Senior/Pensioner,673
2018-10,Taverners Hill Light Rail,Sgl Trip LR Adult,3
2018-10,The Star Light Rail,Adult,64243
2018-10,The Star Light Rail,CTP,1093
2018-10,The Star Light Rail,Child/Youth,1136
2018-10,The Star Light Rail,Concession,2330
2018-10,The Star Light Rail,Employee,89
2018-10,The Star Light Rail,Free Travel,67
2018-10,The Star Light Rail,School Student,21
2018-10,The Star Light Rail,Senior/Pensioner,21053
2018-10,The Star Light Rail,Sgl Trip LR Adult,297
2018-10,The Star Light Rail,Sgl Trip LR Child/Youth,38
2018-10,Waratah Mills Light Rail,Adult,4798
2018-10,Waratah Mills Light Rail,CTP,177
2018-10,Waratah Mills Light Rail,Child/Youth,658
2018-10,Waratah Mills Light Rail,Concession,415
2018-10,Waratah Mills Light Rail,Free Travel,2
2018-10,Waratah Mills Light Rail,School Student,220
2018-10,Waratah Mills Light Rail,Senior/Pensioner,978
2018-10,Waratah Mills Light Rail,Sgl Trip LR Adult,1
2018-10,Wentworth Park Light Rail,Adult,16207
2018-10,Wentworth Park Light Rail,CTP,640
2018-10,Wentworth Park Light Rail,Child/Youth,873
2018-10,Wentworth Park Light Rail,Concession,1211
2018-10,Wentworth Park Light Rail,Employee,18
2018-10,Wentworth Park Light Rail,Free Travel,10
2018-10,Wentworth Park Light Rail,School Student,262
2018-10,Wentworth Park Light Rail,Senior/Pensioner,1239
2018-10,Wentworth Park Light Rail,Sgl Trip LR Adult,7
2018-10,Wentworth Park Light Rail,Sgl Trip LR Child/Youth,3
2018-11,Arlington Light Rail,Adult,11166
2018-11,Arlington Light Rail,CTP,412
2018-11,Arlington Light Rail,Child/Youth,833
2018-11,Arlington Light Rail,Concession,520
2018-11,Arlington Light Rail,Employee,30
2018-11,Arlington Light Rail,Free Travel,20
2018-11,Arlington Light Rail,School Student,462
2018-11,Arlington Light Rail,Senior/Pensioner,1090
2018-11,Capitol Square Light Rail,Adult,36501
2018-11,Capitol Square Light Rail,CTP,691
2018-11,Capitol Square Light Rail,Child/Youth,1451
2018-11,Capitol Square Light Rail,Concession,1113
2018-11,Capitol Square Light Rail,Employee,98
2018-11,Capitol Square Light Rail,Free Travel,42
2018-11,Capitol Square Light Rail,School Student,77
2018-11,Capitol Square Light Rail,Senior/Pensioner,11161
2018-11,Capitol Square Light Rail,Sgl Trip LR Adult,186
2018-11,Capitol Square Light Rail,Sgl Trip LR Child/Youth,21
2018-11,Central Grand Concourse Light Rail,Adult,173425
2018-11,Central Grand Concourse Light Rail,CTP,986
2018-11,Central Grand Concourse Light Rail,Child/Youth,8091
2018-11,Central Grand Concourse Light Rail,Concession,8510
2018-11,Central Grand Concourse Light Rail,Day Pass without SAF,1
2018-11,Central Grand Concourse Light Rail,Employee,463
2018-11,Central Grand Concourse Light Rail,Free Travel,301
2018-11,Central Grand Concourse Light Rail,School Student,257
2018-11,Central Grand Concourse Light Rail,Senior/Pensioner,47122
2018-11,Central Grand Concourse Light Rail,Sgl Trip LR Adult,740
2018-11,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,76
2018-11,Convention Light Rail,Adult,36598
2018-11,Convention Light Rail,CTP,726
2018-11,Convention Light Rail,Child/Youth,2803
2018-11,Convention Light Rail,Concession,1429
2018-11,Convention Light Rail,Employee,78
2018-11,Convention Light Rail,Free Travel,57
2018-11,Convention Light Rail,School Student,118
2018-11,Convention Light Rail,Senior/Pensioner,5402
2018-11,Convention Light Rail,Sgl Trip LR Adult,379
2018-11,Convention Light Rail,Sgl Trip LR Child/Youth,54
2018-11,Dulwich Grove Light Rail,Adult,8155
2018-11,Dulwich Grove Light Rail,CTP,254
2018-11,Dulwich Grove Light Rail,Child/Youth,629
2018-11,Dulwich Grove Light Rail,Concession,424
2018-11,Dulwich Grove Light Rail,Employee,34
2018-11,Dulwich Grove Light Rail,Free Travel,2
2018-11,Dulwich Grove Light Rail,School Student,305
2018-11,Dulwich Grove Light Rail,Senior/Pensioner,1135
2018-11,Dulwich Hill Light Rail,Adult,21146
2018-11,Dulwich Hill Light Rail,CTP,359
2018-11,Dulwich Hill Light Rail,Child/Youth,1967
2018-11,Dulwich Hill Light Rail,Concession,1235
2018-11,Dulwich Hill Light Rail,Employee,46
2018-11,Dulwich Hill Light Rail,Free Travel,13
2018-11,Dulwich Hill Light Rail,School Student,551
2018-11,Dulwich Hill Light Rail,Senior/Pensioner,3453
2018-11,Dulwich Hill Light Rail,Sgl Trip LR Adult,1
2018-11,Dulwich Hill Light Rail,Sgl Trip LR Child/Youth,1
2018-11,Exhibition Centre Light Rail,Adult,16536
2018-11,Exhibition Centre Light Rail,CTP,499
2018-11,Exhibition Centre Light Rail,Child/Youth,1408
2018-11,Exhibition Centre Light Rail,Concession,803
2018-11,Exhibition Centre Light Rail,Employee,48
2018-11,Exhibition Centre Light Rail,Free Travel,32
2018-11,Exhibition Centre Light Rail,School Student,47
2018-11,Exhibition Centre Light Rail,Senior/Pensioner,4371
2018-11,Exhibition Centre Light Rail,Sgl Trip LR Adult,22
2018-11,Exhibition Centre Light Rail,Sgl Trip LR Child/Youth,3
2018-11,Fish Market Light Rail,Adult,34083
2018-11,Fish Market Light Rail,CTP,629
2018-11,Fish Market Light Rail,Child/Youth,1324
2018-11,Fish Market Light Rail,Concession,900
2018-11,Fish Market Light Rail,Employee,28
2018-11,Fish Market Light Rail,Free Travel,19
2018-11,Fish Market Light Rail,School Student,229
2018-11,Fish Market Light Rail,Senior/Pensioner,4678
2018-11,Fish Market Light Rail,Sgl Trip LR Adult,286
2018-11,Fish Market Light Rail,Sgl Trip LR Child/Youth,23
2018-11,Glebe Light Rail,Adult,11127
2018-11,Glebe Light Rail,CTP,455
2018-11,Glebe Light Rail,Child/Youth,1378
2018-11,Glebe Light Rail,Concession,696
2018-11,Glebe Light Rail,Employee,26
2018-11,Glebe Light Rail,Free Travel,7
2018-11,Glebe Light Rail,School Student,511
2018-11,Glebe Light Rail,Senior/Pensioner,1822
2018-11,Glebe Light Rail,Sgl Trip LR Adult,115
2018-11,Glebe Light Rail,Sgl Trip LR Child/Youth,17
2018-11,Hawthorne Light Rail,Adult,9139
2018-11,Hawthorne Light Rail,CTP,481
2018-11,Hawthorne Light Rail,Child/Youth,630
2018-11,Hawthorne Light Rail,Concession,485
2018-11,Hawthorne Light Rail,Employee,9
2018-11,Hawthorne Light Rail,Free Travel,24
2018-11,Hawthorne Light Rail,School Student,347
2018-11,Hawthorne Light Rail,Senior/Pensioner,1128
2018-11,Hawthorne Light Rail,Sgl Trip LR Adult,4
2018-11,Hawthorne Light Rail,Sgl Trip LR Child/Youth,2
2018-11,John Street Square Light Rail,Adult,20240
2018-11,John Street Square Light Rail,CTP,551
2018-11,John Street Square Light Rail,Child/Youth,726
2018-11,John Street Square Light Rail,Concession,781
2018-11,John Street Square Light Rail,Employee,25
2018-11,John Street Square Light Rail,Free Travel,18
2018-11,John Street Square Light Rail,School Student,123
2018-11,John Street Square Light Rail,Senior/Pensioner,2855
2018-11,John Street Square Light Rail,Sgl Trip LR Adult,5
2018-11,Jubilee Park Light Rail,Adult,21576
2018-11,Jubilee Park Light Rail,CTP,801
2018-11,Jubilee Park Light Rail,Child/Youth,2501
2018-11,Jubilee Park Light Rail,Concession,876
2018-11,Jubilee Park Light Rail,Employee,19
2018-11,Jubilee Park Light Rail,Free Travel,12
2018-11,Jubilee Park Light Rail,School Student,1165
2018-11,Jubilee Park Light Rail,Senior/Pensioner,2615
2018-11,Jubilee Park Light Rail,Sgl Trip LR Adult,95
2018-11,Jubilee Park Light Rail,Sgl Trip LR Child/Youth,18
2018-11,Leichhardt North Light Rail,Adult,7834
2018-11,Leichhardt North Light Rail,CTP,402
2018-11,Leichhardt North Light Rail,Child/Youth,927
2018-11,Leichhardt North Light Rail,Concession,637
2018-11,Leichhardt North Light Rail,Employee,31
2018-11,Leichhardt North Light Rail,Free Travel,4
2018-11,Leichhardt North Light Rail,School Student,802
2018-11,Leichhardt North Light Rail,Senior/Pensioner,1118
2018-11,Leichhardt North Light Rail,Sgl Trip LR Adult,2
2018-11,Leichhardt North Light Rail,Sgl Trip LR Child/Youth,1
2018-11,Lewisham West Light Rail,Adult,10601
2018-11,Lewisham West Light Rail,CTP,396
2018-11,Lewisham West Light Rail,Child/Youth,1370
2018-11,Lewisham West Light Rail,Concession,648
2018-11,Lewisham West Light Rail,Employee,76
2018-11,Lewisham West Light Rail,Free Travel,10
2018-11,Lewisham West Light Rail,School Student,410
2018-11,Lewisham West Light Rail,Senior/Pensioner,1019
2018-11,Lilyfield Light Rail,Adult,11252
2018-11,Lilyfield Light Rail,CTP,355
2018-11,Lilyfield Light Rail,Child/Youth,1134
2018-11,Lilyfield Light Rail,Concession,534
2018-11,Lilyfield Light Rail,Employee,24
2018-11,Lilyfield Light Rail,Free Travel,13
2018-11,Lilyfield Light Rail,School Student,325
2018-11,Lilyfield Light Rail,Senior/Pensioner,2468
2018-11,Lilyfield Light Rail,Sgl Trip LR Adult,57
2018-11,Lilyfield Light Rail,Sgl Trip LR Child/Youth,15
2018-11,Marion Light Rail,Adult,7100
2018-11,Marion Light Rail,CTP,278
2018-11,Marion Light Rail,Child/Youth,960
2018-11,Marion Light Rail,Concession,480
2018-11,Marion Light Rail,Employee,14
2018-11,Marion Light Rail,Free Travel,9
2018-11,Marion Light Rail,School Student,138
2018-11,Marion Light Rail,Senior/Pensioner,1690
2018-11,Marion Light Rail,Sgl Trip LR Adult,1
2018-11,"Paddy's Markets Light Rail",Adult,45228
2018-11,"Paddy's Markets Light Rail",CTP,899
2018-11,"Paddy's Markets Light Rail",Child/Youth,3326
2018-11,"Paddy's Markets Light Rail",Concession,2104
2018-11,"Paddy's Markets Light Rail",Employee,72
2018-11,"Paddy's Markets Light Rail",Free Travel,68
2018-11,"Paddy's Markets Light Rail",School Student,90
2018-11,"Paddy's Markets Light Rail",Senior/Pensioner,12540
2018-11,"Paddy's Markets Light Rail",Sgl Trip LR Adult,296
2018-11,"Paddy's Markets Light Rail",Sgl Trip LR Child/Youth,50
2018-11,Pyrmont Bay Light Rail,Adult,44479
2018-11,Pyrmont Bay Light Rail,CTP,1130
2018-11,Pyrmont Bay Light Rail,Child/Youth,1990
2018-11,Pyrmont Bay Light Rail,Concession,1479
2018-11,Pyrmont Bay Light Rail,Employee,60
2018-11,Pyrmont Bay Light Rail,Free Travel,122
2018-11,Pyrmont Bay Light Rail,School Student,95
2018-11,Pyrmont Bay Light Rail,Senior/Pensioner,4569
2018-11,Pyrmont Bay Light Rail,Sgl Trip LR Adult,242
2018-11,Pyrmont Bay Light Rail,Sgl Trip LR Child/Youth,31
2018-11,Rozelle Bay Light Rail,Adult,8305
2018-11,Rozelle Bay Light Rail,CTP,465
2018-11,Rozelle Bay Light Rail,Child/Youth,698
2018-11,Rozelle Bay Light Rail,Concession,449
2018-11,Rozelle Bay Light Rail,Employee,2
2018-11,Rozelle Bay Light Rail,Free Travel,17
2018-11,Rozelle Bay Light Rail,School Student,72
2018-11,Rozelle Bay Light Rail,Senior/Pensioner,1306
2018-11,Rozelle Bay Light Rail,Sgl Trip LR Child/Youth,3
2018-11,Taverners Hill Light Rail,Adult,5605
2018-11,Taverners Hill Light Rail,CTP,196
2018-11,Taverners Hill Light Rail,Child/Youth,504
2018-11,Taverners Hill Light Rail,Concession,272
2018-11,Taverners Hill Light Rail,Employee,4
2018-11,Taverners Hill Light Rail,Free Travel,8
2018-11,Taverners Hill Light Rail,School Student,268
2018-11,Taverners Hill Light Rail,Senior/Pensioner,597
2018-11,The Star Light Rail,Adult,64403
2018-11,The Star Light Rail,CTP,1129
2018-11,The Star Light Rail,Child/Youth,1113
2018-11,The Star Light Rail,Concession,2559
2018-11,The Star Light Rail,Employee,93
2018-11,The Star Light Rail,Free Travel,78
2018-11,The Star Light Rail,School Student,66
2018-11,The Star Light Rail,Senior/Pensioner,22175
2018-11,The Star Light Rail,Sgl Trip LR Adult,319
2018-11,The Star Light Rail,Sgl Trip LR Child/Youth,12
2018-11,Waratah Mills Light Rail,Adult,5333
2018-11,Waratah Mills Light Rail,CTP,209
2018-11,Waratah Mills Light Rail,Child/Youth,639
2018-11,Waratah Mills Light Rail,Concession,377
2018-11,Waratah Mills Light Rail,Employee,3
2018-11,Waratah Mills Light Rail,Free Travel,7
2018-11,Waratah Mills Light Rail,School Student,372
2018-11,Waratah Mills Light Rail,Senior/Pensioner,1061
2018-11,Wentworth Park Light Rail,Adult,15952
2018-11,Wentworth Park Light Rail,CTP,591
2018-11,Wentworth Park Light Rail,Child/Youth,881
2018-11,Wentworth Park Light Rail,Concession,1825
2018-11,Wentworth Park Light Rail,Day Pass without SAF,1
2018-11,Wentworth Park Light Rail,Employee,17
2018-11,Wentworth Park Light Rail,Free Travel,5
2018-11,Wentworth Park Light Rail,School Student,398
2018-11,Wentworth Park Light Rail,Senior/Pensioner,1296
2018-11,Wentworth Park Light Rail,Sgl Trip LR Adult,2
2018-11,Wentworth Park Light Rail,Sgl Trip LR Child/Youth,3
2018-12,Arlington Light Rail,Adult,10019
2018-12,Arlington Light Rail,CTP,535
2018-12,Arlington Light Rail,Child/Youth,974
2018-12,Arlington Light Rail,Concession,424
2018-12,Arlington Light Rail,Employee,10
2018-12,Arlington Light Rail,Free Travel,13
