Year_Month,Route,Card_type,Trip
2016-08,F4 Darling Harbour,Senior/Pensioner,17748
2016-08,F4 Darling Harbour,Sgl Trip Ferry Adult,6020
2016-08,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,1458
2016-08,F5 Neutral Bay,Adult,32274
2016-08,F5 Neutral Bay,Child/Youth,1393
2016-08,F5 Neutral Bay,Concession,977
2016-08,F5 Neutral Bay,Employee,223
2016-08,F5 Neutral Bay,Free Travel,54
2016-08,F5 Neutral Bay,School Student,39
2016-08,F5 Neutral Bay,Senior/Pensioner,8843
2016-08,F5 Neutral Bay,Sgl Trip Ferry Adult,776
2016-08,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,132
2016-08,F6 Mosman Bay,Adult,51321
2016-08,F6 Mosman Bay,Child/Youth,2727
2016-08,F6 Mosman Bay,Concession,2322
2016-08,F6 Mosman Bay,Employee,374
2016-08,F6 Mosman Bay,Free Travel,96
2016-08,F6 Mosman Bay,School Student,84
2016-08,F6 Mosman Bay,Senior/Pensioner,12537
2016-08,F6 Mosman Bay,Sgl Trip Ferry Adult,817
2016-08,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,176
2016-08,F7 Eastern Suburbs,Adult,90309
2016-08,F7 Eastern Suburbs,Child/Youth,6145
2016-08,F7 Eastern Suburbs,Concession,2016
2016-08,F7 Eastern Suburbs,Employee,419
2016-08,F7 Eastern Suburbs,Free Travel,190
2016-08,F7 Eastern Suburbs,School Student,140
2016-08,F7 Eastern Suburbs,Senior/Pensioner,16397
2016-08,F7 Eastern Suburbs,Sgl Trip Ferry Adult,2342
2016-08,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,443
2016-09,118 Newcastle,Adult,23446
2016-09,118 Newcastle,Child/Youth,5317
2016-09,118 Newcastle,Concession,920
2016-09,118 Newcastle,Employee,472
2016-09,118 Newcastle,Free Travel,333
2016-09,118 Newcastle,School Student,653
2016-09,118 Newcastle,Senior/Pensioner,9120
2016-09,F1 Manly,Adult,250792
2016-09,F1 Manly,Child/Youth,31397
2016-09,F1 Manly,Concession,9944
2016-09,F1 Manly,Employee,1709
2016-09,F1 Manly,Free Travel,644
2016-09,F1 Manly,School Student,220
2016-09,F1 Manly,Senior/Pensioner,55319
2016-09,F1 Manly,Sgl Trip Ferry Adult,23200
2016-09,F1 Manly,Sgl Trip Ferry Child/Youth,4055
2016-09,F2 Taronga Zoo,Adult,67768
2016-09,F2 Taronga Zoo,Child/Youth,16210
2016-09,F2 Taronga Zoo,Concession,2131
2016-09,F2 Taronga Zoo,Employee,245
2016-09,F2 Taronga Zoo,Free Travel,101
2016-09,F2 Taronga Zoo,School Student,30
2016-09,F2 Taronga Zoo,Senior/Pensioner,9827
2016-09,F2 Taronga Zoo,Sgl Trip Ferry Adult,4062
2016-09,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1260
2016-09,F3 Parramatta River,Adult,172338
2016-09,F3 Parramatta River,Child/Youth,19891
2016-09,F3 Parramatta River,Concession,4990
2016-09,F3 Parramatta River,Employee,951
2016-09,F3 Parramatta River,Free Travel,314
2016-09,F3 Parramatta River,School Student,581
2016-09,F3 Parramatta River,Senior/Pensioner,35291
2016-09,F3 Parramatta River,Sgl Trip Ferry Adult,7139
2016-09,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2080
2016-09,F4 Darling Harbour,Adult,97313
2016-09,F4 Darling Harbour,Child/Youth,19344
2016-09,F4 Darling Harbour,Concession,2195
2016-09,F4 Darling Harbour,Employee,607
2016-09,F4 Darling Harbour,Free Travel,222
2016-09,F4 Darling Harbour,School Student,180
