Year_Month,Route,Card_type,Trip
2017-10,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2325
2017-10,F4 Darling Harbour,Adult,108910
2017-10,F4 Darling Harbour,Child/Youth,18753
2017-10,F4 Darling Harbour,Concession,2295
2017-10,F4 Darling Harbour,Employee,572
2017-10,F4 Darling Harbour,Free Travel,202
2017-10,F4 Darling Harbour,School Student,141
2017-10,F4 Darling Harbour,Senior/Pensioner,22385
2017-10,F4 Darling Harbour,Sgl Trip Ferry Adult,9158
2017-10,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,2220
2017-10,F5 Neutral Bay,Adult,34592
2017-10,F5 Neutral Bay,Child/Youth,1773
2017-10,F5 Neutral Bay,Concession,1122
2017-10,F5 Neutral Bay,Employee,228
2017-10,F5 Neutral Bay,Free Travel,64
2017-10,F5 Neutral Bay,School Student,70
2017-10,F5 Neutral Bay,Senior/Pensioner,9605
2017-10,F5 Neutral Bay,Sgl Trip Ferry Adult,1717
2017-10,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,330
2017-10,F6 Mosman Bay,Adult,54774
2017-10,F6 Mosman Bay,Child/Youth,3214
2017-10,F6 Mosman Bay,Concession,2313
2017-10,F6 Mosman Bay,Employee,326
2017-10,F6 Mosman Bay,Free Travel,118
2017-10,F6 Mosman Bay,School Student,38
2017-10,F6 Mosman Bay,Senior/Pensioner,13490
2017-10,F6 Mosman Bay,Sgl Trip Ferry Adult,2155
2017-10,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,485
2017-10,F7 Eastern Suburbs,Adult,106565
2017-10,F7 Eastern Suburbs,Child/Youth,7736
2017-10,F7 Eastern Suburbs,Concession,1815
2017-10,F7 Eastern Suburbs,Employee,462
2017-10,F7 Eastern Suburbs,Free Travel,209
2017-10,F7 Eastern Suburbs,School Student,46
2017-10,F7 Eastern Suburbs,Senior/Pensioner,17064
2017-10,F7 Eastern Suburbs,Sgl Trip Ferry Adult,5498
2017-10,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,1095
2017-11,118 Newcastle,Adult,23597
2017-11,118 Newcastle,Child/Youth,2589
2017-11,118 Newcastle,Concession,954
2017-11,118 Newcastle,Employee,441
2017-11,118 Newcastle,Free Travel,511
2017-11,118 Newcastle,School Student,1239
2017-11,118 Newcastle,Senior/Pensioner,9278
2017-11,F1 Manly,Adult,294887
2017-11,F1 Manly,CTP,2019
2017-11,F1 Manly,Child/Youth,23354
2017-11,F1 Manly,Concession,9217
2017-11,F1 Manly,Employee,1770
2017-11,F1 Manly,Free Travel,727
2017-11,F1 Manly,School Student,385
2017-11,F1 Manly,Senior/Pensioner,59720
2017-11,F1 Manly,Sgl Trip Ferry Adult,28193
2017-11,F1 Manly,Sgl Trip Ferry Child/Youth,2389
2017-11,F2 Taronga Zoo,Adult,72482
2017-11,F2 Taronga Zoo,Child/Youth,11340
2017-11,F2 Taronga Zoo,Concession,2184
2017-11,F2 Taronga Zoo,Employee,338
2017-11,F2 Taronga Zoo,Free Travel,106
2017-11,F2 Taronga Zoo,School Student,11
2017-11,F2 Taronga Zoo,Senior/Pensioner,10704
2017-11,F2 Taronga Zoo,Sgl Trip Ferry Adult,7701
2017-11,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1093
2017-11,F3 Parramatta River,Adult,189362
2017-11,F3 Parramatta River,Child/Youth,14768
2017-11,F3 Parramatta River,Concession,4176
2017-11,F3 Parramatta River,Employee,1016
2017-11,F3 Parramatta River,Free Travel,341
2017-11,F3 Parramatta River,School Student,393
2017-11,F3 Parramatta River,Senior/Pensioner,37993
2017-11,F3 Parramatta River,Sgl Trip Ferry Adult,8177
2017-11,F3 Parramatta River,Sgl Trip Ferry Child/Youth,1247
2017-11,F4 Cross Harbour,Adult,40726
2017-11,F4 Cross Harbour,Child/Youth,3357
2017-11,F4 Cross Harbour,Concession,1079
2017-11,F4 Cross Harbour,Employee,219
2017-11,F4 Cross Harbour,Free Travel,71
2017-11,F4 Cross Harbour,School Student,44
2017-11,F4 Cross Harbour,Senior/Pensioner,7281
2017-11,F4 Cross Harbour,Sgl Trip Ferry Adult,2261
2017-11,F4 Cross Harbour,Sgl Trip Ferry Child/Youth,280
2017-11,F4 Darling Harbour,Adult,89982
2017-11,F4 Darling Harbour,Child/Youth,10942
2017-11,F4 Darling Harbour,Concession,1758
2017-11,F4 Darling Harbour,Employee,527
2017-11,F4 Darling Harbour,Free Travel,190
2017-11,F4 Darling Harbour,School Student,181
2017-11,F4 Darling Harbour,Senior/Pensioner,18749
2017-11,F4 Darling Harbour,Sgl Trip Ferry Adult,7817
2017-11,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,1063
2017-11,F5 Neutral Bay,Adult,37972
2017-11,F5 Neutral Bay,Child/Youth,1424
2017-11,F5 Neutral Bay,Concession,1152
2017-11,F5 Neutral Bay,Employee,283
2017-11,F5 Neutral Bay,Free Travel,63
2017-11,F5 Neutral Bay,School Student,68
2017-11,F5 Neutral Bay,Senior/Pensioner,10238
2017-11,F5 Neutral Bay,Sgl Trip Ferry Adult,1890
2017-11,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,204
2017-11,F6 Mosman Bay,Adult,56876
2017-11,F6 Mosman Bay,Child/Youth,2405
2017-11,F6 Mosman Bay,Concession,1892
2017-11,F6 Mosman Bay,Employee,369
2017-11,F6 Mosman Bay,Free Travel,137
2017-11,F6 Mosman Bay,School Student,66
2017-11,F6 Mosman Bay,Senior/Pensioner,14073
2017-11,F6 Mosman Bay,Sgl Trip Ferry Adult,2166
2017-11,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,322
2017-11,F7 Double Bay,Adult,2410
2017-11,F7 Double Bay,Child/Youth,89
2017-11,F7 Double Bay,Concession,56
2017-11,F7 Double Bay,Employee,4
2017-11,F7 Double Bay,Free Travel,6
2017-11,F7 Double Bay,Senior/Pensioner,633
2017-11,F7 Double Bay,Sgl Trip Ferry Adult,128
2017-11,F7 Double Bay,Sgl Trip Ferry Child/Youth,17
2017-11,F7 Eastern Suburbs,Adult,86073
2017-11,F7 Eastern Suburbs,Child/Youth,4284
2017-11,F7 Eastern Suburbs,Concession,1639
2017-11,F7 Eastern Suburbs,Employee,440
2017-11,F7 Eastern Suburbs,Free Travel,164
2017-11,F7 Eastern Suburbs,School Student,38
2017-11,F7 Eastern Suburbs,Senior/Pensioner,13700
2017-11,F7 Eastern Suburbs,Sgl Trip Ferry Adult,4611
2017-11,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,528
2017-11,F8 Cockatoo Island,Adult,7408
2017-11,F8 Cockatoo Island,Child/Youth,458
2017-11,F8 Cockatoo Island,Concession,251
2017-11,F8 Cockatoo Island,Employee,28
2017-11,F8 Cockatoo Island,Free Travel,14
2017-11,F8 Cockatoo Island,School Student,19
2017-11,F8 Cockatoo Island,Senior/Pensioner,1536
2017-11,F8 Cockatoo Island,Sgl Trip Ferry Adult,205
2017-11,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,28
2017-12,118 Newcastle,Adult,26329
2017-12,118 Newcastle,Child/Youth,5317
2017-12,118 Newcastle,Concession,935
2017-12,118 Newcastle,Employee,475
2017-12,118 Newcastle,Free Travel,398
2017-12,118 Newcastle,School Student,525
2017-12,118 Newcastle,Senior/Pensioner,9468
2017-12,F1 Manly,Adult,357252
2017-12,F1 Manly,CTP,2307
2017-12,F1 Manly,Child/Youth,55179
2017-12,F1 Manly,Concession,10067
2017-12,F1 Manly,Employee,1614
2017-12,F1 Manly,Free Travel,669
2017-12,F1 Manly,School Student,208
2017-12,F1 Manly,Senior/Pensioner,64137
2017-12,F1 Manly,Sgl Trip Ferry Adult,28797
2017-12,F1 Manly,Sgl Trip Ferry Child/Youth,5928
2017-12,F2 Taronga Zoo,Adult,100984
2017-12,F2 Taronga Zoo,Child/Youth,20187
2017-12,F2 Taronga Zoo,Concession,2784
2017-12,F2 Taronga Zoo,Employee,350
2017-12,F2 Taronga Zoo,Free Travel,118
2017-12,F2 Taronga Zoo,School Student,8
2017-12,F2 Taronga Zoo,Senior/Pensioner,12131
2017-12,F2 Taronga Zoo,Sgl Trip Ferry Adult,9295
2017-12,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,2799
2017-12,F3 Parramatta River,Adult,158030
2017-12,F3 Parramatta River,Child/Youth,17013
2017-12,F3 Parramatta River,Concession,3802
2017-12,F3 Parramatta River,Employee,872
2017-12,F3 Parramatta River,Free Travel,293
2017-12,F3 Parramatta River,School Student,117
2017-12,F3 Parramatta River,Senior/Pensioner,27521
2017-12,F3 Parramatta River,Sgl Trip Ferry Adult,9704
2017-12,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2732
2017-12,F4 Cross Harbour,Adult,270855
2017-12,F4 Cross Harbour,Child/Youth,37269
2017-12,F4 Cross Harbour,Concession,6463
2017-12,F4 Cross Harbour,Employee,1186
2017-12,F4 Cross Harbour,Free Travel,363
2017-12,F4 Cross Harbour,School Student,59
2017-12,F4 Cross Harbour,Senior/Pensioner,42247
2017-12,F4 Cross Harbour,Sgl Trip Ferry Adult,20012
2017-12,F4 Cross Harbour,Sgl Trip Ferry Child/Youth,5337
2017-12,F5 Neutral Bay,Adult,34320
2017-12,F5 Neutral Bay,Child/Youth,2433
2017-12,F5 Neutral Bay,Concession,966
2017-12,F5 Neutral Bay,Employee,224
2017-12,F5 Neutral Bay,Free Travel,70
2017-12,F5 Neutral Bay,School Student,18
2017-12,F5 Neutral Bay,Senior/Pensioner,8818
2017-12,F5 Neutral Bay,Sgl Trip Ferry Adult,2092
2017-12,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,564
2017-12,F6 Mosman Bay,Adult,47709
2017-12,F6 Mosman Bay,Child/Youth,3872
2017-12,F6 Mosman Bay,Concession,1677
2017-12,F6 Mosman Bay,Employee,241
2017-12,F6 Mosman Bay,Free Travel,85
2017-12,F6 Mosman Bay,School Student,25
2017-12,F6 Mosman Bay,Senior/Pensioner,10939
2017-12,F6 Mosman Bay,Sgl Trip Ferry Adult,2432
2017-12,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,761
2017-12,F7 Double Bay,Adult,12513
2017-12,F7 Double Bay,Child/Youth,934
2017-12,F7 Double Bay,Concession,305
2017-12,F7 Double Bay,Employee,15
2017-12,F7 Double Bay,Free Travel,29
2017-12,F7 Double Bay,School Student,1
2017-12,F7 Double Bay,Senior/Pensioner,2584
2017-12,F7 Double Bay,Sgl Trip Ferry Adult,1039
2017-12,F7 Double Bay,Sgl Trip Ferry Child/Youth,233
2017-12,F8 Cockatoo Island,Adult,38219
2017-12,F8 Cockatoo Island,Child/Youth,4198
2017-12,F8 Cockatoo Island,Concession,1202
2017-12,F8 Cockatoo Island,Employee,188
2017-12,F8 Cockatoo Island,Free Travel,74
2017-12,F8 Cockatoo Island,School Student,27
2017-12,F8 Cockatoo Island,Senior/Pensioner,7595
2017-12,F8 Cockatoo Island,Sgl Trip Ferry Adult,1696
2017-12,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,453
2018-01,118 Newcastle,Adult,27999
2018-01,118 Newcastle,Child/Youth,8028
2018-01,118 Newcastle,Concession,954
2018-01,118 Newcastle,Employee,492
2018-01,118 Newcastle,Free Travel,466
2018-01,118 Newcastle,School Student,120
2018-01,118 Newcastle,Senior/Pensioner,10389
2018-01,F1 Manly,Adult,386423
2018-01,F1 Manly,CTP,2466
2018-01,F1 Manly,Child/Youth,71794
2018-01,F1 Manly,Concession,10380
2018-01,F1 Manly,Employee,2136
2018-01,F1 Manly,Free Travel,794
2018-01,F1 Manly,School Student,36
2018-01,F1 Manly,Senior/Pensioner,77328
2018-01,F1 Manly,Sgl Trip Ferry Adult,33286
2018-01,F1 Manly,Sgl Trip Ferry Child/Youth,7569
2018-01,F2 Taronga Zoo,Adult,101623
2018-01,F2 Taronga Zoo,Child/Youth,26470
2018-01,F2 Taronga Zoo,Concession,2748
2018-01,F2 Taronga Zoo,Employee,495
2018-01,F2 Taronga Zoo,Free Travel,127
2018-01,F2 Taronga Zoo,School Student,2
2018-01,F2 Taronga Zoo,Senior/Pensioner,14107
2018-01,F2 Taronga Zoo,Sgl Trip Ferry Adult,8043
2018-01,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,2675
2018-01,F3 Parramatta River,Adult,174029
2018-01,F3 Parramatta River,Child/Youth,25537
2018-01,F3 Parramatta River,Concession,4386
2018-01,F3 Parramatta River,Employee,981
2018-01,F3 Parramatta River,Free Travel,306
2018-01,F3 Parramatta River,School Student,34
2018-01,F3 Parramatta River,Senior/Pensioner,34519
2018-01,F3 Parramatta River,Sgl Trip Ferry Adult,9964
2018-01,F3 Parramatta River,Sgl Trip Ferry Child/Youth,3867
2018-01,F4 Cross Harbour,Adult,284268
2018-01,F4 Cross Harbour,Child/Youth,52573
2018-01,F4 Cross Harbour,Concession,6267
2018-01,F4 Cross Harbour,Employee,1442
2018-01,F4 Cross Harbour,Free Travel,478
2018-01,F4 Cross Harbour,School Student,37
2018-01,F4 Cross Harbour,Senior/Pensioner,52165
2018-01,F4 Cross Harbour,Sgl Trip Ferry Adult,21527
2018-01,F4 Cross Harbour,Sgl Trip Ferry Child/Youth,7032
2018-01,F5 Neutral Bay,Adult,34830
2018-01,F5 Neutral Bay,Child/Youth,3116
2018-01,F5 Neutral Bay,Concession,925
2018-01,F5 Neutral Bay,Employee,207
2018-01,F5 Neutral Bay,Free Travel,46
2018-01,F5 Neutral Bay,School Student,5
2018-01,F5 Neutral Bay,Senior/Pensioner,9208
2018-01,F5 Neutral Bay,Sgl Trip Ferry Adult,1815
2018-01,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,565
2018-01,F6 Mosman Bay,Adult,49195
2018-01,F6 Mosman Bay,Child/Youth,4869
2018-01,F6 Mosman Bay,Concession,1603
2018-01,F6 Mosman Bay,Employee,321
2018-01,F6 Mosman Bay,Free Travel,104
2018-01,F6 Mosman Bay,School Student,6
2018-01,F6 Mosman Bay,Senior/Pensioner,11622
2018-01,F6 Mosman Bay,Sgl Trip Ferry Adult,2177
2018-01,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,762
2018-01,F7 Double Bay,Adult,14012
2018-01,F7 Double Bay,Child/Youth,1374
2018-01,F7 Double Bay,Concession,391
2018-01,F7 Double Bay,Employee,25
2018-01,F7 Double Bay,Free Travel,34
2018-01,F7 Double Bay,School Student,1
2018-01,F7 Double Bay,Senior/Pensioner,3170
2018-01,F7 Double Bay,Sgl Trip Ferry Adult,1165
2018-01,F7 Double Bay,Sgl Trip Ferry Child/Youth,372
2018-01,F8 Cockatoo Island,Adult,39935
2018-01,F8 Cockatoo Island,Child/Youth,5787
2018-01,F8 Cockatoo Island,Concession,1538
2018-01,F8 Cockatoo Island,Employee,163
2018-01,F8 Cockatoo Island,Free Travel,62
2018-01,F8 Cockatoo Island,School Student,11
2018-01,F8 Cockatoo Island,Senior/Pensioner,8081
2018-01,F8 Cockatoo Island,Sgl Trip Ferry Adult,1603
2018-01,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,581
2018-02,118 Newcastle,Adult,25242
2018-02,118 Newcastle,Child/Youth,2939
2018-02,118 Newcastle,Concession,907
2018-02,118 Newcastle,Employee,422
2018-02,118 Newcastle,Free Travel,403
2018-02,118 Newcastle,School Student,1659
2018-02,118 Newcastle,Senior/Pensioner,9594
2018-02,F1 Manly,Adult,270888
2018-02,F1 Manly,CTP,2067
2018-02,F1 Manly,Child/Youth,19255
2018-02,F1 Manly,Concession,7629
2018-02,F1 Manly,Employee,1437
2018-02,F1 Manly,Free Travel,604
2018-02,F1 Manly,School Student,308
2018-02,F1 Manly,Senior/Pensioner,61141
2018-02,F1 Manly,Sgl Trip Ferry Adult,25604
2018-02,F1 Manly,Sgl Trip Ferry Child/Youth,2253
2018-02,F2 Taronga Zoo,Adult,81630
2018-02,F2 Taronga Zoo,Child/Youth,9711
2018-02,F2 Taronga Zoo,Concession,2474
2018-02,F2 Taronga Zoo,Employee,349
2018-02,F2 Taronga Zoo,Free Travel,142
2018-02,F2 Taronga Zoo,School Student,28
2018-02,F2 Taronga Zoo,Senior/Pensioner,11454
2018-02,F2 Taronga Zoo,Sgl Trip Ferry Adult,7376
2018-02,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1361
2018-02,F3 Parramatta River,Adult,158480
2018-02,F3 Parramatta River,CTP,1
2018-02,F3 Parramatta River,Child/Youth,9667
2018-02,F3 Parramatta River,Concession,3967
2018-02,F3 Parramatta River,Employee,887
2018-02,F3 Parramatta River,Free Travel,249
2018-02,F3 Parramatta River,School Student,290
2018-02,F3 Parramatta River,Senior/Pensioner,28798
2018-02,F3 Parramatta River,Sgl Trip Ferry Adult,7849
2018-02,F3 Parramatta River,Sgl Trip Ferry Child/Youth,1244
2018-02,F4 Cross Harbour,Adult,234230
2018-02,F4 Cross Harbour,CTP,1
2018-02,F4 Cross Harbour,Child/Youth,17405
2018-02,F4 Cross Harbour,Concession,5348
2018-02,F4 Cross Harbour,Employee,1146
2018-02,F4 Cross Harbour,Free Travel,403
2018-02,F4 Cross Harbour,School Student,402
2018-02,F4 Cross Harbour,Senior/Pensioner,41211
2018-02,F4 Cross Harbour,Sgl Trip Ferry Adult,16498
2018-02,F4 Cross Harbour,Sgl Trip Ferry Child/Youth,2307
2018-02,F5 Neutral Bay,Adult,35123
2018-02,F5 Neutral Bay,Child/Youth,1270
2018-02,F5 Neutral Bay,Concession,1126
2018-02,F5 Neutral Bay,Employee,267
2018-02,F5 Neutral Bay,Free Travel,85
2018-02,F5 Neutral Bay,School Student,73
2018-02,F5 Neutral Bay,Senior/Pensioner,9354
2018-02,F5 Neutral Bay,Sgl Trip Ferry Adult,1928
2018-02,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,265
2018-02,F6 Mosman Bay,Adult,45830
2018-02,F6 Mosman Bay,Child/Youth,1900
2018-02,F6 Mosman Bay,Concession,1780
2018-02,F6 Mosman Bay,Employee,266
2018-02,F6 Mosman Bay,Free Travel,84
2018-02,F6 Mosman Bay,School Student,54
2018-02,F6 Mosman Bay,Senior/Pensioner,11286
2018-02,F6 Mosman Bay,Sgl Trip Ferry Adult,2007
2018-02,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,331
2018-02,F7 Double Bay,Adult,13739
2018-02,F7 Double Bay,Child/Youth,570
2018-02,F7 Double Bay,Concession,269
2018-02,F7 Double Bay,Employee,32
2018-02,F7 Double Bay,Free Travel,75
2018-02,F7 Double Bay,School Student,1
2018-02,F7 Double Bay,Senior/Pensioner,3392
2018-02,F7 Double Bay,Sgl Trip Ferry Adult,1069
2018-02,F7 Double Bay,Sgl Trip Ferry Child/Youth,129
2018-02,F8 Cockatoo Island,Adult,37033
2018-02,F8 Cockatoo Island,Child/Youth,2363
2018-02,F8 Cockatoo Island,Concession,1233
2018-02,F8 Cockatoo Island,Employee,188
2018-02,F8 Cockatoo Island,Free Travel,84
2018-02,F8 Cockatoo Island,School Student,89
2018-02,F8 Cockatoo Island,Senior/Pensioner,8252
2018-02,F8 Cockatoo Island,Sgl Trip Ferry Adult,1442
2018-02,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,189
2018-03,118 Newcastle,Adult,25682
2018-03,118 Newcastle,Child/Youth,3290
2018-03,118 Newcastle,Concession,1357
2018-03,118 Newcastle,Employee,389
2018-03,118 Newcastle,Free Travel,438
2018-03,118 Newcastle,School Student,1276
2018-03,118 Newcastle,Senior/Pensioner,10058
2018-03,F1 Manly,Adult,297131
2018-03,F1 Manly,CTP,7052
2018-03,F1 Manly,Child/Youth,22591
2018-03,F1 Manly,Concession,11276
2018-03,F1 Manly,Employee,1496
2018-03,F1 Manly,Free Travel,640
2018-03,F1 Manly,School Student,303
2018-03,F1 Manly,Senior/Pensioner,64481
2018-03,F1 Manly,Sgl Trip Ferry Adult,23882
2018-03,F1 Manly,Sgl Trip Ferry Child/Youth,2936
2018-03,F2 Taronga Zoo,Adult,85790
2018-03,F2 Taronga Zoo,CTP,1068
2018-03,F2 Taronga Zoo,Child/Youth,11450
2018-03,F2 Taronga Zoo,Concession,2899
2018-03,F2 Taronga Zoo,Employee,348
2018-03,F2 Taronga Zoo,Free Travel,125
2018-03,F2 Taronga Zoo,School Student,31
2018-03,F2 Taronga Zoo,Senior/Pensioner,12928
2018-03,F2 Taronga Zoo,Sgl Trip Ferry Adult,6710
2018-03,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,1418
2018-03,F3 Parramatta River,Adult,175731
2018-03,F3 Parramatta River,CTP,1705
2018-03,F3 Parramatta River,Child/Youth,11470
2018-03,F3 Parramatta River,Concession,4883
2018-03,F3 Parramatta River,Employee,851
2018-03,F3 Parramatta River,Free Travel,228
2018-03,F3 Parramatta River,School Student,258
2018-03,F3 Parramatta River,Senior/Pensioner,32137
2018-03,F3 Parramatta River,Sgl Trip Ferry Adult,8408
2018-03,F3 Parramatta River,Sgl Trip Ferry Child/Youth,1639
2018-03,F4 Cross Harbour,Adult,244532
2018-03,F4 Cross Harbour,CTP,3148
2018-03,F4 Cross Harbour,Child/Youth,20994
2018-03,F4 Cross Harbour,Concession,6264
2018-03,F4 Cross Harbour,Employee,1025
2018-03,F4 Cross Harbour,Free Travel,299
2018-03,F4 Cross Harbour,School Student,416
2018-03,F4 Cross Harbour,Senior/Pensioner,43497
2018-03,F4 Cross Harbour,Sgl Trip Ferry Adult,16014
2018-03,F4 Cross Harbour,Sgl Trip Ferry Child/Youth,2816
2018-03,F5 Neutral Bay,Adult,36632
2018-03,F5 Neutral Bay,CTP,353
2018-03,F5 Neutral Bay,Child/Youth,1238
2018-03,F5 Neutral Bay,Concession,1338
2018-03,F5 Neutral Bay,Employee,220
2018-03,F5 Neutral Bay,Free Travel,87
2018-03,F5 Neutral Bay,School Student,70
2018-03,F5 Neutral Bay,Senior/Pensioner,10282
2018-03,F5 Neutral Bay,Sgl Trip Ferry Adult,1869
2018-03,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,362
2018-03,F6 Mosman Bay,Adult,49162
2018-03,F6 Mosman Bay,CTP,447
2018-03,F6 Mosman Bay,Child/Youth,2174
2018-03,F6 Mosman Bay,Concession,2226
2018-03,F6 Mosman Bay,Employee,269
2018-03,F6 Mosman Bay,Free Travel,100
2018-03,F6 Mosman Bay,School Student,76
2018-03,F6 Mosman Bay,Senior/Pensioner,12697
2018-03,F6 Mosman Bay,Sgl Trip Ferry Adult,1837
2018-03,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,362
2018-03,F7 Double Bay,Adult,13961
2018-03,F7 Double Bay,CTP,257
2018-03,F7 Double Bay,Child/Youth,533
2018-03,F7 Double Bay,Concession,299
2018-03,F7 Double Bay,Employee,34
2018-03,F7 Double Bay,Free Travel,63
2018-03,F7 Double Bay,School Student,1
2018-03,F7 Double Bay,Senior/Pensioner,3769
2018-03,F7 Double Bay,Sgl Trip Ferry Adult,914
2018-03,F7 Double Bay,Sgl Trip Ferry Child/Youth,165
2018-03,F8 Cockatoo Island,Adult,48894
2018-03,F8 Cockatoo Island,CTP,660
2018-03,F8 Cockatoo Island,Child/Youth,3996
2018-03,F8 Cockatoo Island,Concession,1988
2018-03,F8 Cockatoo Island,Employee,197
2018-03,F8 Cockatoo Island,Free Travel,68
2018-03,F8 Cockatoo Island,School Student,113
2018-03,F8 Cockatoo Island,Senior/Pensioner,11060
2018-03,F8 Cockatoo Island,Sgl Trip Ferry Adult,2088
2018-03,F8 Cockatoo Island,Sgl Trip Ferry Child/Youth,397
2018-04,118 Newcastle,Adult,27171
2018-04,118 Newcastle,Child/Youth,5471
2018-04,118 Newcastle,Concession,1090
2018-04,118 Newcastle,Employee,419
2018-04,118 Newcastle,Free Travel,367
2018-04,118 Newcastle,School Student,480
2018-04,118 Newcastle,Senior/Pensioner,9982
2018-04,F1 Manly,Adult,275528
2018-04,F1 Manly,CTP,7479
2018-04,F1 Manly,Child/Youth,41239
2018-04,F1 Manly,Concession,9633
2018-04,F1 Manly,Employee,1579
2018-04,F1 Manly,Free Travel,629
2018-04,F1 Manly,School Student,134
2018-04,F1 Manly,Senior/Pensioner,66217
2018-04,F1 Manly,Sgl Trip Ferry Adult,19597
2018-04,F1 Manly,Sgl Trip Ferry Child/Youth,4506
2018-04,F2 Taronga Zoo,Adult,91184
2018-04,F2 Taronga Zoo,CTP,1339
2018-04,F2 Taronga Zoo,Child/Youth,23839
2018-04,F2 Taronga Zoo,Concession,2759
2018-04,F2 Taronga Zoo,Employee,358
2018-04,F2 Taronga Zoo,Free Travel,130
2018-04,F2 Taronga Zoo,School Student,15
2018-04,F2 Taronga Zoo,Senior/Pensioner,14210
2018-04,F2 Taronga Zoo,Sgl Trip Ferry Adult,6426
2018-04,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,2314
2018-04,F3 Parramatta River,Adult,182482
2018-04,F3 Parramatta River,CTP,3192
2018-04,F3 Parramatta River,Child/Youth,25738
2018-04,F3 Parramatta River,Concession,4764
2018-04,F3 Parramatta River,Employee,893
2018-04,F3 Parramatta River,Free Travel,269
2018-04,F3 Parramatta River,School Student,107
2018-04,F3 Parramatta River,Senior/Pensioner,35982
2018-04,F3 Parramatta River,Sgl Trip Ferry Adult,7945
2018-04,F3 Parramatta River,Sgl Trip Ferry Child/Youth,2885
2018-04,F4 Cross Harbour,Adult,252802
2018-04,F4 Cross Harbour,CTP,5008
2018-04,F4 Cross Harbour,Child/Youth,42632
2018-04,F4 Cross Harbour,Concession,6153
2018-04,F4 Cross Harbour,Employee,1094
2018-04,F4 Cross Harbour,Free Travel,419
2018-04,F4 Cross Harbour,School Student,209
2018-04,F4 Cross Harbour,Senior/Pensioner,49122
2018-04,F4 Cross Harbour,Sgl Trip Ferry Adult,14291
2018-04,F4 Cross Harbour,Sgl Trip Ferry Child/Youth,4718
2018-04,F5 Neutral Bay,Adult,33402
2018-04,F5 Neutral Bay,CTP,829
2018-04,F5 Neutral Bay,Child/Youth,2477
2018-04,F5 Neutral Bay,Concession,1083
2018-04,F5 Neutral Bay,Employee,167
2018-04,F5 Neutral Bay,Free Travel,71
2018-04,F5 Neutral Bay,School Student,29
2018-04,F5 Neutral Bay,Senior/Pensioner,9511
2018-04,F5 Neutral Bay,Sgl Trip Ferry Adult,1532
2018-04,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,460
2018-04,F6 Mosman Bay,Adult,45609
2018-04,F6 Mosman Bay,CTP,858
2018-04,F6 Mosman Bay,Child/Youth,3264
2018-04,F6 Mosman Bay,Concession,1704
2018-04,F6 Mosman Bay,Employee,266
2018-04,F6 Mosman Bay,Free Travel,73
2018-04,F6 Mosman Bay,School Student,40
2018-04,F6 Mosman Bay,Senior/Pensioner,12159
2018-04,F6 Mosman Bay,Sgl Trip Ferry Adult,1423
2018-04,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,465
2018-04,F7 Double Bay,Adult,13028
2018-04,F7 Double Bay,CTP,445
2018-04,F7 Double Bay,Child/Youth,1143
2018-04,F7 Double Bay,Concession,228
2018-04,F7 Double Bay,Employee,10
2018-04,F7 Double Bay,Free Travel,75
2018-04,F7 Double Bay,Senior/Pensioner,3515
2018-04,F7 Double Bay,Sgl Trip Ferry Adult,872
2018-04,F7 Double Bay,Sgl Trip Ferry Child/Youth,239
2018-04,F8 Cockatoo Island,Adult,61307
2018-04,F8 Cockatoo Island,CTP,1409
2018-04,F8 Cockatoo Island,Child/Youth,10351
2018-04,F8 Cockatoo Island,Concession,2494
2018-04,F8 Cockatoo Island,Employee,204
2018-04,F8 Cockatoo Island,Free Travel,98
2018-04,F8 Cockatoo Island,School Student,50
2018-04,F8 Cockatoo Island,Senior/Pensioner,13912
